dataset,technique,RandomForest,mlp,xgboost
cmc,IQR,-0.015141249999999995,0.018305089999999913,0.00022598000000007001
cmc,IsolationForest,-0.037740120000000044,0.013107349999999962,-0.021242939999999932
cmc,LocalOutlierFactor,-0.0018079100000000237,0.0058757099999999785,-0.005649719999999969
cmc,ModifiedZScore,-0.010169490000000003,0.01084745999999992,-0.0036158199999999363
cmc,OneClassSVM,-0.0038418099999999455,-0.009943500000000105,-0.03209039999999996
cmc,ZScore,-0.006327689999999997,0.009265539999999906,-0.0027118699999999496
electricity,IQR,-0.0035234800000000233,-0.011085359999999933,-0.020059579999999966
electricity,IsolationForest,-0.002670199999999956,-0.0054213100000000125,-0.013939460000000015
electricity,LocalOutlierFactor,-0.0003898599999999641,0.0008385800000000332,-0.002648129999999971
electricity,ModifiedZScore,-0.0074221199999999765,-0.015028129999999917,-0.016867120000000013
electricity,OneClassSVM,-0.042031700000000005,-0.050630769999999936,-0.08401192000000002
electricity,ZScore,0.00038987000000001437,0.0023391799999999963,-0.003464640000000019
eye_movements,IQR,-0.08692869999999997,-0.09195613000000002,-0.11462521999999997
eye_movements,IsolationForest,-0.010420470000000015,-0.01590493999999998,-0.00874465999999996
eye_movements,LocalOutlierFactor,0.0023461300000000573,-0.006337599999999943,0.0038696000000000286
eye_movements,ModifiedZScore,-0.17577695999999998,-0.19247410999999998,-0.20490553999999994
eye_movements,OneClassSVM,-0.05502741999999994,-0.06709323999999994,-0.08933576999999993
eye_movements,ZScore,-0.017001819999999945,-0.03503961,-0.029555149999999974
kc1,IQR,-0.025434439999999947,-0.02164297000000004,-0.01958925999999994
kc1,IsolationForest,-0.010742489999999938,-0.003317539999999952,-0.015007899999999963
kc1,LocalOutlierFactor,-0.003949439999999971,0.004423379999999977,-0.0023696699999999904
kc1,ModifiedZScore,-0.039968400000000015,-0.010426539999999984,-0.026698259999999974
kc1,OneClassSVM,-0.03807267000000003,-0.00932069000000002,-0.016587679999999994
kc1,ZScore,-0.009952599999999978,0.003633490000000017,-0.009794629999999915
pol,IQR,-0.28322590999999997,-0.41517105,-0.40971740999999995
pol,IsolationForest,0.00016526000000005592,-0.0001652599999999449,0.00042967999999998785
pol,LocalOutlierFactor,-0.004329860000000019,-0.004164599999999963,-0.0008924200000000049
pol,OneClassSVM,-0.03992728000000001,-0.10130556999999996,-0.032556609999999986
pol,ZScore,-0.08137497999999999,-0.11128738999999999,-0.11069244999999994
vehicle,IQR,-0.006274510000000011,-0.043137259999999955,-0.021568629999999978
vehicle,IsolationForest,-0.030588229999999994,-0.029803929999999923,-0.028235290000000024
vehicle,LocalOutlierFactor,-0.009803919999999966,-0.017647059999999937,-0.012156859999999936
vehicle,ModifiedZScore,-0.010588229999999976,-0.014901969999999931,-0.006666669999999986
vehicle,OneClassSVM,-0.14588234999999994,-0.1360784399999999,-0.19999999999999996
vehicle,ZScore,-0.014901959999999992,-0.032156870000000004,-0.013725490000000007
