Dataset,MLP,XGBoost,Difference,ZScore %,IsolationForest %
cmc,0.53333333,0.56949153,-0.03615819999999992,0.012898845892735914,0.3530210454854039
connect-4,0.82449674,0.84888988,-0.024393140000000035,,
electricity,0.83715473,0.92201258,-0.08485785000000001,0.012800141242937853,0.19257591807909605
eye,,,,,
kc1,0.85371248,0.8628752,-0.009162719999999958,0.0862968231389284,0.12754860123281175
phoneme,0.84643848,0.86907185,-0.022633369999999986,0.02701702442635085,0.0501480384900074
pol,0.98423401,0.98277971,0.0014543000000000195,0.3558817694901805,0.015770680420551478
splice,0.83510972,0.95559039,-0.12048066999999996,,
vehicle,0.79686275,0.75490196,0.04196078999999997,0.026004728132387706,0.13120567375886524
Correlation,,,,0.28748221978060506,-0.39694803527351097
