dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bank_Customer_Churn_Dataset,0.8282,0.8265,0.8328,0.8268,0.8096,0.8151,0.8223,0.828
cmc,0.49763,0.51186,0.5017,0.50644,0.50712,0.50237,0.50373,0.51322
connect-4,0.77864,0.77864,0.77864,0.77864,0.77864,0.77864,0.77864,0.77864
credit-g,0.682,0.698,0.694,0.688,0.687,0.676,0.696,0.687
electricity,0.78266,0.77873,0.78204,0.78817,0.74468,0.71182,0.78517,0.78537
eucalyptus,0.52703,0.52973,0.54595,0.54054,0.46351,0.44324,0.54189,0.55541
eye_movements,0.39369,0.4064,0.399,0.40265,0.3926,0.40146,0.40302,0.4106
house_16H,0.86123,0.85693,0.86256,0.85975,0.84922,0.8318,0.85634,0.85248
kc1,0.85687,0.86398,0.85687,0.85877,0.84929,0.84834,0.85877,0.8564
phoneme,0.8407,0.83959,0.84015,0.84755,0.84477,0.80814,0.8457,0.84237
splice,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633,0.82633
vehicle,0.80353,0.80235,0.79647,0.80588,0.78353,0.74824,0.80588,0.8
IMPROVED,2/12,4/12,4/12,-,1/12,0/12,3/12,4/12
