,mlp,randomforest,xgboost,outlier_pct
Bank_Customer_Churn_Dataset,0.8268,0.8181,0.804,2.1969
cmc,0.50644,0.51797,0.51661,1.4437
connect-4,0.77864,0.79692,0.82808,0.0
credit-g,0.688,0.737,0.726,5.0312
electricity,0.78817,0.85197,0.86344,1.1876
eucalyptus,0.54054,0.57838,0.58243,2.6383
eye_movements,0.40265,0.32203,0.49452,18.9083
house_16H,0.85975,0.87695,0.87324,15.6418
kc1,0.85877,0.86161,0.86682,9.8592
phoneme,0.84755,0.87512,0.86124,2.568
splice,0.82633,0.94263,0.94859,0.0
vehicle,0.80588,0.71882,0.74588,3.2222
PEARSON_CORR,,-0.4905,0.06803,
