dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
Bank_Customer_Churn_Dataset,0.8268 ± 0.0109 (0.0%),0.828 ± 0.0072 (2.2%),0.8223 ± 0.0143 (2.2%),0.8151 ± 0.006 (38.15%),0.8096 ± 0.0061 (38.15%),0.8265 ± 0.0111 (4.98%),0.8328 ± 0.0111 (4.99%),0.8282 ± 0.013 (5.01%)
cmc,0.5064 ± 0.014 (0.0%),0.5132 ± 0.0212 (1.44%),0.5037 ± 0.0232 (1.44%),0.5024 ± 0.0099 (9.68%),0.5071 ± 0.014 (9.68%),0.5119 ± 0.017 (4.95%),0.5017 ± 0.0156 (5.03%),0.4976 ± 0.0129 (5.41%)
connect-4,0.7786 ± 0.0044 (0.0%),0.7786 ± 0.0044 (0.0%),0.7786 ± 0.0044 (0.0%),0.7786 ± 0.0044 (0.0%),0.7786 ± 0.0044 (0.0%),0.7786 ± 0.0044 (0.0%),0.7786 ± 0.0044 (0.0%),0.7786 ± 0.0044 (0.0%)
credit-g,0.688 ± 0.0238 (0.0%),0.687 ± 0.0204 (5.03%),0.696 ± 0.0267 (5.03%),0.676 ± 0.026 (22.84%),0.687 ± 0.0229 (22.84%),0.698 ± 0.0186 (4.91%),0.694 ± 0.0132 (4.81%),0.682 ± 0.0136 (5.0%)
eucalyptus,0.5405 ± 0.0176 (0.0%),0.5554 ± 0.0254 (2.64%),0.5419 ± 0.0108 (18.26%),0.4432 ± 0.0461 (32.64%),0.4635 ± 0.0152 (40.77%),0.5297 ± 0.0236 (5.06%),0.5459 ± 0.0207 (5.06%),0.527 ± 0.0121 (5.19%)
eye_movements,0.4027 ± 0.0086 (0.0%),0.4106 ± 0.0159 (18.91%),0.403 ± 0.0158 (18.91%),0.4015 ± 0.0135 (62.8%),0.3926 ± 0.0142 (62.8%),0.4064 ± 0.0122 (4.98%),0.399 ± 0.0184 (5.0%),0.3937 ± 0.0142 (5.0%)
house_16H,0.8597 ± 0.0013 (0.0%),0.8525 ± 0.005 (15.64%),0.8563 ± 0.0036 (15.64%),0.8318 ± 0.0109 (50.82%),0.8492 ± 0.0038 (50.82%),0.8569 ± 0.0033 (5.0%),0.8626 ± 0.0049 (5.0%),0.8612 ± 0.0032 (5.01%)
kc1,0.8588 ± 0.0071 (0.0%),0.8564 ± 0.0129 (9.86%),0.8588 ± 0.0053 (9.86%),0.8483 ± 0.0119 (21.07%),0.8493 ± 0.0087 (21.07%),0.864 ± 0.0061 (5.01%),0.8569 ± 0.0092 (4.7%),0.8569 ± 0.0051 (5.07%)
phoneme,0.8475 ± 0.0074 (0.0%),0.8424 ± 0.0056 (2.57%),0.8457 ± 0.0084 (2.57%),0.8081 ± 0.0082 (36.55%),0.8448 ± 0.0053 (36.55%),0.8396 ± 0.0034 (4.97%),0.8401 ± 0.005 (4.97%),0.8407 ± 0.0034 (5.02%)
splice,0.8263 ± 0.0061 (0.0%),0.8263 ± 0.0061 (0.0%),0.8263 ± 0.0061 (0.0%),0.8263 ± 0.0061 (0.0%),0.8263 ± 0.0061 (0.0%),0.8263 ± 0.0061 (0.0%),0.8263 ± 0.0061 (0.0%),0.8263 ± 0.0061 (0.0%)
vehicle,0.8059 ± 0.0255 (0.0%),0.8 ± 0.0305 (3.22%),0.8059 ± 0.0266 (3.22%),0.7482 ± 0.0172 (51.22%),0.7835 ± 0.0195 (51.22%),0.8024 ± 0.0304 (4.96%),0.7965 ± 0.0212 (5.0%),0.8035 ± 0.027 (5.22%)
