dataset,Autoencoder_remove,IsolationForest_remove,LOF_remove,None_remove,Percentile_clip,Percentile_remove,ZScore_clip,ZScore_remove
Bank_Customer_Churn_Dataset,0.8263,0.8074,0.8303,0.8181,0.8146,0.7961,0.815,0.8164
cmc,0.49492,0.50441,0.51254,0.51797,0.49898,0.48475,0.51864,0.50983
connect-4,0.79692,0.79692,0.79692,0.79692,0.79692,0.79692,0.79692,0.79692
credit-g,0.741,0.725,0.722,0.737,0.732,0.728,0.736,0.721
electricity,0.84511,0.84367,0.84555,0.85197,0.80466,0.76672,0.85012,0.85166
eucalyptus,0.57162,0.55405,0.56622,0.57838,0.53514,0.49865,0.58919,0.59054
eye_movements,0.33163,0.33419,0.32166,0.32203,0.44488,0.39918,0.31782,0.3298
house_16H,0.8762,0.87658,0.87635,0.87695,0.87361,0.85738,0.87643,0.86761
kc1,0.85213,0.85356,0.86351,0.86161,0.85261,0.83649,0.8564,0.84882
phoneme,0.87475,0.8729,0.86734,0.87512,0.87382,0.8346,0.87567,0.87549
splice,0.94263,0.94263,0.94263,0.94263,0.94263,0.94263,0.94263,0.94263
vehicle,0.71765,0.72353,0.71765,0.71882,0.72353,0.68235,0.72353,0.71882
IMPROVED,3/12,2/12,2/12,-,2/12,1/12,4/12,3/12
