dataset,model,method,mean,std,baseline,delta,abs_delta,removed_pct,efficiency,improved,avg_removed_pct
Bank_Customer_Churn_Dataset,mlp,ZScore,0.8292,0.00738,0.8267,0.0025000000000000577,0.0025000000000000577,2.1999999999999997,0.0011363636363636628,True,8.069230769230769
Bank_Customer_Churn_Dataset,mlp,IsolationForest,0.8202,0.00981,0.8267,-0.00649999999999995,0.00649999999999995,4.9799999999999995,-0.0013052208835341267,False,4.9772727272727275
Bank_Customer_Churn_Dataset,mlp,IQR,0.8276,0.00857,0.8267,0.0009000000000000119,0.0009000000000000119,4.36,0.00020642201834862657,True,26.813076923076924
cmc,mlp,ZScore,0.51322,0.02384,0.51119,0.0020299999999999763,0.0020299999999999763,1.44,0.0014097222222222059,True,8.069230769230769
cmc,mlp,IsolationForest,0.51593,0.01476,0.51119,0.0047399999999999665,0.0047399999999999665,4.95,0.0009575757575757507,True,4.9772727272727275
cmc,mlp,IQR,0.52407,0.00873,0.51119,0.012880000000000003,0.012880000000000003,3.08,0.004181818181818182,True,26.813076923076924
credit-g,mlp,ZScore,0.713,0.02462,0.713,0.0,0.0,0.0,0.0,False,8.069230769230769
credit-g,mlp,IQR,0.713,0.02462,0.713,0.0,0.0,0.0,0.0,False,26.813076923076924
electricity,mlp,ZScore,0.78557,0.00331,0.78872,-0.003149999999999986,0.003149999999999986,1.1900000000000002,-0.0026470588235294,False,8.069230769230769
electricity,mlp,IsolationForest,0.77934,0.00194,0.78872,-0.009379999999999944,0.009379999999999944,5.0,-0.0018759999999999888,False,4.9772727272727275
electricity,mlp,IQR,0.74401,0.00301,0.78872,-0.04471000000000003,0.04471000000000003,20.06,-0.0022288135593220354,False,26.813076923076924
elevators,mlp,ZScore,0.00184,0.00047,0.00113,0.0007100000000000001,0.0007100000000000001,12.5,5.680000000000001e-05,True,8.069230769230769
elevators,mlp,IsolationForest,0.00114,0.00017,0.00113,1.0000000000000026e-05,1.0000000000000026e-05,5.0,2.0000000000000054e-06,True,4.9772727272727275
elevators,mlp,IQR,0.00635,0.00413,0.00113,0.00522,0.00522,46.29,0.00011276733635774465,True,26.813076923076924
eucalyptus,mlp,ZScore,0.54595,0.02783,0.54595,0.0,0.0,0.0,0.0,False,8.069230769230769
eucalyptus,mlp,IQR,0.54595,0.02783,0.54595,0.0,0.0,0.0,0.0,False,26.813076923076924
eye_movements,mlp,ZScore,0.40512,0.01676,0.39973,0.005390000000000006,0.005390000000000006,18.91,0.0002850343733474355,True,8.069230769230769
eye_movements,mlp,IsolationForest,0.40484,0.0219,0.39973,0.005110000000000003,0.005110000000000003,4.9799999999999995,0.0010261044176706835,True,4.9772727272727275
eye_movements,mlp,IQR,0.38656,0.01317,0.39973,-0.01316999999999996,0.01316999999999996,57.34,-0.00022968259504708684,False,26.813076923076924
house_16H,mlp,ZScore,0.85419,0.00377,0.85745,-0.0032600000000000406,0.0032600000000000406,15.64,-0.0002084398976982123,False,8.069230769230769
house_16H,mlp,IsolationForest,0.85812,0.00358,0.85745,0.0006699999999999484,0.0006699999999999484,5.0,0.00013399999999998968,True,4.9772727272727275
house_16H,mlp,IQR,0.80082,0.01768,0.85745,-0.05663000000000007,0.05663000000000007,52.800000000000004,-0.00107253787878788,False,26.813076923076924
kc1,mlp,ZScore,0.85498,0.01369,0.86019,-0.005210000000000048,0.005210000000000048,9.86,-0.0005283975659229258,False,8.069230769230769
kc1,mlp,IsolationForest,0.86066,0.00784,0.86019,0.00046999999999997044,0.00046999999999997044,5.01,9.381237524949511e-05,True,4.9772727272727275
kc1,mlp,IQR,0.81611,0.01777,0.86019,-0.04408000000000001,0.04408000000000001,33.83,-0.0013029855158143663,False,26.813076923076924
phoneme,mlp,ZScore,0.84366,0.00644,0.84588,-0.0022199999999999998,0.0022199999999999998,2.5700000000000003,-0.0008638132295719842,False,8.069230769230769
phoneme,mlp,IsolationForest,0.84311,0.00563,0.84588,-0.002769999999999939,0.002769999999999939,4.97,-0.0005573440643863057,False,4.9772727272727275
phoneme,mlp,IQR,0.8161,0.00473,0.84588,-0.029779999999999918,0.029779999999999918,22.189999999999998,-0.0013420459666516414,False,26.813076923076924
pol,mlp,ZScore,0.87576,0.0033,0.98156,-0.1058,0.1058,35.99,-0.0029397054737427064,False,8.069230769230769
pol,mlp,IsolationForest,0.98126,0.00155,0.98156,-0.00029999999999996696,0.00029999999999996696,5.0,-5.9999999999993395e-05,False,4.9772727272727275
pol,mlp,IQR,0.60972,0.0161,0.98156,-0.37183999999999995,0.37183999999999995,88.55,-0.004199209486166007,False,26.813076923076924
socmob,mlp,ZScore,1266.778,185.01581,1183.01642,83.7615800000001,83.7615800000001,1.38,60.69679710144935,True,8.069230769230769
socmob,mlp,IsolationForest,1614.4428,36.24224,1183.01642,431.4263800000001,431.4263800000001,4.9,88.04620000000001,True,4.9772727272727275
socmob,mlp,IQR,1654.99996,49.17725,1183.01642,471.9835400000002,471.9835400000002,13.96,33.80970916905445,True,26.813076923076924
vehicle,mlp,ZScore,0.79882,0.03054,0.81059,-0.011770000000000058,0.011770000000000058,3.2199999999999998,-0.0036552795031056084,False,8.069230769230769
vehicle,mlp,IsolationForest,0.8,0.02683,0.81059,-0.010589999999999988,0.010589999999999988,4.96,-0.002135080645161288,False,4.9772727272727275
vehicle,mlp,IQR,0.78118,0.02507,0.81059,-0.029410000000000047,0.029410000000000047,6.11,-0.0048134206219312674,False,26.813076923076924
Bank_Customer_Churn_Dataset,randomforest,ZScore,0.8213,0.01996,0.8177,0.0036000000000000476,0.0036000000000000476,2.1999999999999997,0.0016363636363636582,True,8.069230769230769
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,0.8209,0.01543,0.8177,0.0031999999999999806,0.0031999999999999806,4.9799999999999995,0.0006425702811244942,True,4.9772727272727275
Bank_Customer_Churn_Dataset,randomforest,IQR,0.817,0.01822,0.8177,-0.0007000000000000339,0.0007000000000000339,4.36,-0.0001605504587156041,False,26.813076923076924
cmc,randomforest,ZScore,0.51458,0.00583,0.51051,0.004070000000000018,0.004070000000000018,1.44,0.0028263888888889017,True,8.069230769230769
cmc,randomforest,IsolationForest,0.50576,0.01552,0.51051,-0.004750000000000032,0.004750000000000032,4.95,-0.000959595959595966,False,4.9772727272727275
cmc,randomforest,IQR,0.51593,0.01596,0.51051,0.00541999999999998,0.00541999999999998,3.08,0.0017597402597402533,True,26.813076923076924
credit-g,randomforest,ZScore,0.73,0.0114,0.73,0.0,0.0,0.0,0.0,False,8.069230769230769
