dataset,nan_remove,ZScore_remove,ZScore_clip,Percentile_remove,Percentile_clip,IsolationForest_remove,LOF_remove,Autoencoder_remove
Bank_Customer_Churn_Dataset,0.0 ± 0.0258 (0.0%),0.0057 ± 0.0127 (2.2%),-0.0155 ± 0.0508 (2.2%),-0.0123 ± 0.0176 (38.15%),-0.0095 ± 0.025 (38.15%),0.0026 ± 0.0081 (4.98%),0.0045 ± 0.019 (4.99%),-0.0054 ± 0.0342 (5.01%)
cmc,0.0 ± 0.0192 (0.0%),-0.0149 ± 0.0188 (1.44%),-0.0041 ± 0.0203 (1.44%),-0.0271 ± 0.0164 (9.68%),-0.0163 ± 0.0063 (9.68%),-0.0081 ± 0.0177 (4.95%),-0.0142 ± 0.0162 (5.03%),-0.0169 ± 0.0131 (5.41%)
connect-4,0.0 ± 0.0012 (0.0%),0.0 ± 0.0012 (0.0%),0.0 ± 0.0012 (0.0%),0.0 ± 0.0012 (0.0%),0.0 ± 0.0012 (0.0%),0.0 ± 0.0012 (0.0%),0.0 ± 0.0012 (0.0%),0.0 ± 0.0012 (0.0%)
credit-g,0.0 ± 0.0058 (0.0%),0.016 ± 0.0236 (5.03%),-0.022 ± 0.0159 (5.03%),-0.001 ± 0.017 (22.84%),0.011 ± 0.0258 (22.84%),0.009 ± 0.0182 (4.91%),-0.007 ± 0.0166 (4.81%),-0.001 ± 0.0063 (5.0%)
eucalyptus,0.0 ± 0.0335 (0.0%),-0.0189 ± 0.0251 (2.64%),-0.0365 ± 0.0505 (18.26%),-0.1027 ± 0.0308 (32.64%),-0.0622 ± 0.0181 (40.77%),-0.0257 ± 0.0398 (5.06%),-0.0216 ± 0.0328 (5.06%),-0.0014 ± 0.0345 (5.19%)
eye_movements,0.0 ± 0.0286 (0.0%),-0.0051 ± 0.0099 (18.91%),-0.0074 ± 0.0203 (18.91%),-0.0567 ± 0.0124 (62.8%),-0.0256 ± 0.0334 (62.8%),-0.0038 ± 0.0247 (4.98%),0.0018 ± 0.0285 (5.0%),-0.027 ± 0.0359 (5.0%)
house_16H,0.0 ± 0.0028 (0.0%),-0.0061 ± 0.0026 (15.64%),0.0007 ± 0.0048 (15.64%),-0.0147 ± 0.0026 (50.82%),-0.0029 ± 0.0015 (50.82%),0.0007 ± 0.0038 (5.0%),-0.001 ± 0.0022 (5.0%),-0.0016 ± 0.003 (5.01%)
kc1,0.0 ± 0.0142 (0.0%),-0.0237 ± 0.009 (9.86%),-0.0095 ± 0.0098 (9.86%),-0.0412 ± 0.0083 (21.07%),-0.0147 ± 0.0129 (21.07%),-0.0066 ± 0.0144 (5.01%),-0.0047 ± 0.0126 (4.7%),-0.0081 ± 0.0124 (5.07%)
phoneme,0.0 ± 0.004 (0.0%),-0.0002 ± 0.0033 (2.57%),-0.002 ± 0.0053 (2.57%),-0.0311 ± 0.0058 (36.55%),-0.0013 ± 0.0045 (36.55%),-0.0052 ± 0.0053 (4.97%),-0.0085 ± 0.0044 (4.97%),-0.003 ± 0.0076 (5.02%)
splice,0.0 ± 0.0074 (0.0%),0.0 ± 0.0074 (0.0%),0.0 ± 0.0074 (0.0%),0.0 ± 0.0074 (0.0%),0.0 ± 0.0074 (0.0%),0.0 ± 0.0074 (0.0%),0.0 ± 0.0074 (0.0%),0.0 ± 0.0074 (0.0%)
vehicle,0.0 ± 0.0314 (0.0%),-0.0118 ± 0.0126 (3.22%),0.0 ± 0.0314 (3.22%),-0.0741 ± 0.0205 (51.22%),-0.0047 ± 0.0244 (51.22%),-0.0059 ± 0.0234 (4.96%),-0.0165 ± 0.0247 (5.0%),-0.0071 ± 0.0209 (5.22%)
AVERAGE,0.0,-0.005361454545454548,-0.008748272727272717,-0.03280936363636364,-0.011464818181818185,-0.003916363636363642,-0.006117090909090925,-0.0064816363636363665
