,mlp_baseline,randomforest_baseline,xgboost_baseline,Percentile_remove_outlier_pct,rf_gap,xgb_gap
Bank_Customer_Churn_Dataset,0.8268,0.8181,0.804,38.15,-0.00869999999999993,-0.02279999999999993
cmc,0.5064,0.518,0.5166,9.68,0.011600000000000055,0.010199999999999987
connect-4,0.7786,0.7969,0.8281,0.0,0.018300000000000094,0.04949999999999999
credit-g,0.688,0.737,0.726,22.84,0.049000000000000044,0.038000000000000034
electricity,0.7882,0.852,0.8634,44.92,0.06379999999999997,0.07519999999999993
eucalyptus,0.5405,0.5784,0.5824,32.64,0.037900000000000045,0.04190000000000005
eye_movements,0.4027,0.322,0.4945,62.8,-0.0807,0.09179999999999999
house_16H,0.8597,0.8769,0.8732,50.82,0.017199999999999993,0.013499999999999956
kc1,0.8588,0.8616,0.8668,21.07,0.0028000000000000247,0.008000000000000007
phoneme,0.8475,0.8751,0.8612,36.55,0.027599999999999958,0.013699999999999934
pol,0.9829,0.9798,0.9813,62.64,-0.0030999999999999917,-0.0016000000000000458
splice,0.8263,0.9426,0.9486,0.0,0.11629999999999996,0.12229999999999996
vehicle,0.8059,0.7188,0.7459,51.22,-0.08709999999999996,-0.05999999999999994
SPEARMAN_CORRELATION,,-0.564,-0.2779,,,
