,mlp_baseline,randomforest_baseline,xgboost_baseline,Autoencoder_remove_outlier_pct,IsolationForest_remove_outlier_pct,LOF_remove_outlier_pct,Percentile_clip_outlier_pct,Percentile_remove_outlier_pct,ZScore_clip_outlier_pct,ZScore_remove_outlier_pct,nan_remove_outlier_pct
Bank_Customer_Churn_Dataset,0.8268,0.8181,0.804,5.01,4.98,4.99,38.15,38.15,2.2,2.2,0.0
cmc,0.5064,0.518,0.5166,5.41,4.95,5.03,9.68,9.68,1.44,1.44,0.0
connect-4,0.7786,0.7969,0.8281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
credit-g,0.688,0.737,0.726,5.0,4.91,4.81,22.84,22.84,5.03,5.03,0.0
electricity,0.7882,0.852,0.8634,5.0,5.0,5.0,44.92,44.92,1.19,1.19,0.0
elevators,0.0009,0.0,0.0,5.01,5.0,5.0,52.68,52.68,12.5,12.5,0.0
eucalyptus,0.5405,0.5784,0.5824,5.19,5.06,5.06,40.77,32.64,18.26,2.64,0.0
eye_movements,0.4027,0.322,0.4945,5.0,4.98,5.0,62.8,62.8,18.91,18.91,0.0
house_16H,0.8597,0.8769,0.8732,5.01,5.0,5.0,50.82,50.82,15.64,15.64,0.0
kc1,0.8588,0.8616,0.8668,5.07,5.01,4.7,21.07,21.07,9.86,9.86,0.0
phoneme,0.8475,0.8751,0.8612,5.02,4.97,4.97,36.55,36.55,2.57,2.57,0.0
pol,0.9829,0.9798,0.9813,5.01,5.0,5.0,62.64,62.64,35.99,35.99,0.0
socmob,1183.3881,1521.0566,1394.0432,5.06,4.9,4.79,4.84,4.84,1.38,1.38,0.0
splice,0.8263,0.9426,0.9486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle,0.8059,0.7188,0.7459,5.22,4.96,5.0,51.22,51.22,3.22,3.22,0.0
