dataset,model,outlier,mean,std,min,max,removed,time
cmc,mlp,None,0.53898,0.01438,0.51525,0.55932,0.00,0.417
cmc,mlp,ZScore,0.55458,0.00791,0.53898,0.55932,14.00,0.352
cmc,mlp,IsolationForest,0.50373,0.01827,0.48136,0.51864,331.00,0.108
cmc,mlp,LOF,0.53627,0.00542,0.52881,0.54576,32.00,0.341
cmc,mlp,IQR,0.53492,0.00583,0.52542,0.54237,58.00,0.355
cmc,xgboost,None,0.47119,0.00000,0.47119,0.47119,0.00,0.094
cmc,xgboost,ZScore,0.50508,0.00000,0.50508,0.50508,14.00,0.099
cmc,xgboost,IsolationForest,0.39661,0.00000,0.39661,0.39661,331.00,0.122
cmc,xgboost,LOF,0.48136,0.00000,0.48136,0.48136,32.00,0.151
cmc,xgboost,IQR,0.46441,0.00000,0.46441,0.46441,58.00,0.117
cmc,randomforest,None,0.46441,0.01304,0.45085,0.48475,0.00,0.087
cmc,randomforest,ZScore,0.47254,0.01166,0.45763,0.49153,14.00,0.084
cmc,randomforest,IsolationForest,0.39525,0.01723,0.37288,0.42373,331.00,0.076
cmc,randomforest,LOF,0.48203,0.00785,0.47119,0.49153,32.00,0.084
cmc,randomforest,IQR,0.45220,0.01147,0.44068,0.46780,58.00,0.083
cmc,linear,None,0.49492,0.00000,0.49492,0.49492,0.00,0.003
cmc,linear,ZScore,0.46780,0.00000,0.46780,0.46780,14.00,0.002
cmc,linear,IsolationForest,0.45763,0.00000,0.45763,0.45763,331.00,0.002
cmc,linear,LOF,0.49492,0.00000,0.49492,0.49492,32.00,0.002
cmc,linear,IQR,0.45424,0.00000,0.45424,0.45424,58.00,0.002
credit-g,mlp,None,0.61600,0.11355,0.41000,0.70000,0.00,0.042
cmc,mlp,None,0.55051,0.00698,0.54237,0.56271,0.00,0.354
cmc,mlp,ZScore,0.54644,0.00657,0.53898,0.55593,14.00,0.367
cmc,mlp,IsolationForest,0.48542,0.01874,0.46441,0.51864,331.00,0.122
cmc,mlp,LOF,0.53288,0.00542,0.52542,0.53898,32.00,0.338
cmc,mlp,IQR,0.54576,0.00711,0.53559,0.55254,58.00,0.325
cmc,xgboost,None,0.47119,0.00000,0.47119,0.47119,0.00,0.096
cmc,xgboost,ZScore,0.50508,0.00000,0.50508,0.50508,14.00,0.101
cmc,xgboost,IsolationForest,0.39661,0.00000,0.39661,0.39661,331.00,0.254
cmc,xgboost,LOF,0.48136,0.00000,0.48136,0.48136,32.00,0.095
cmc,xgboost,IQR,0.46441,0.00000,0.46441,0.46441,58.00,0.118
cmc,randomforest,None,0.46034,0.01059,0.44407,0.47458,0.00,0.087
cmc,randomforest,ZScore,0.47119,0.01114,0.45085,0.48136,14.00,0.086
cmc,randomforest,IsolationForest,0.39525,0.00973,0.38305,0.41017,331.00,0.076
cmc,randomforest,LOF,0.47661,0.00996,0.46780,0.49492,32.00,0.084
cmc,randomforest,IQR,0.44678,0.00841,0.43390,0.45763,58.00,0.083
cmc,linear,None,0.49492,0.00000,0.49492,0.49492,0.00,0.002
cmc,linear,ZScore,0.46780,0.00000,0.46780,0.46780,14.00,0.002
cmc,linear,IsolationForest,0.45763,0.00000,0.45763,0.45763,331.00,0.002
cmc,linear,LOF,0.49492,0.00000,0.49492,0.49492,32.00,0.002
cmc,linear,IQR,0.45424,0.00000,0.45424,0.45424,58.00,0.002
credit-g,mlp,None,0.63900,0.12718,0.38500,0.71500,0.00,0.034
cmc,mlp,None,0.58712,0.00785,0.57627,0.60000,0.00,0.234
cmc,mlp,None,0.58712,0.00785,0.57627,0.60000,0.00,0.229
cmc,mlp,ZScore,0.58712,0.00785,0.57627,0.60000,0.00,0.230
cmc,mlp,IsolationForest,0.58712,0.00785,0.57627,0.60000,0.00,0.231
cmc,mlp,IQR,0.58712,0.00785,0.57627,0.60000,0.00,0.223
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,0.00,0.126
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,0.00,0.173
cmc,xgboost,IsolationForest,0.51186,0.00000,0.51186,0.51186,0.00,0.209
cmc,xgboost,IQR,0.51186,0.00000,0.51186,0.51186,0.00,0.120
cmc,randomforest,None,0.53153,0.01081,0.52203,0.55254,0.00,0.109
cmc,randomforest,ZScore,0.53153,0.01081,0.52203,0.55254,0.00,0.111
cmc,randomforest,IsolationForest,0.53153,0.01081,0.52203,0.55254,0.00,0.111
cmc,randomforest,IQR,0.53153,0.01081,0.52203,0.55254,0.00,0.111
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,0.00,0.259
cmc,mlp,ZScore,0.58508,0.00791,0.57627,0.59661,0.00,0.255
cmc,mlp,IsolationForest,0.58441,0.00873,0.57288,0.59661,0.00,0.229
cmc,mlp,IQR,0.58508,0.00791,0.57627,0.59661,0.00,0.255
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,0.00,0.128
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,0.00,0.090
cmc,xgboost,IsolationForest,0.51186,0.00000,0.51186,0.51186,0.00,0.122
cmc,xgboost,IQR,0.51186,0.00000,0.51186,0.51186,0.00,0.093
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,0.00,0.112
cmc,randomforest,ZScore,0.52068,0.00791,0.50847,0.52881,0.00,0.106
cmc,randomforest,IsolationForest,0.52068,0.00791,0.50847,0.52881,0.00,0.111
cmc,randomforest,IQR,0.52068,0.00791,0.50847,0.52881,0.00,0.107
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.253
cmc,mlp,ZScore,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.247
cmc,mlp,IsolationForest,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.254
cmc,mlp,IQR,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.249
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.128
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.095
cmc,xgboost,IsolationForest,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.161
cmc,xgboost,IQR,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.099
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.112
cmc,randomforest,ZScore,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.106
cmc,randomforest,IsolationForest,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.108
cmc,randomforest,IQR,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.109
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.264
cmc,mlp,ZScore,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.252
cmc,mlp,IsolationForest,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.255
cmc,mlp,IQR,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.247
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.082
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.091
cmc,xgboost,IsolationForest,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.090
cmc,xgboost,IQR,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.126
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.108
cmc,randomforest,ZScore,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.107
cmc,randomforest,IsolationForest,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.110
cmc,randomforest,IQR,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.108
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.239
cmc,mlp,ZScore,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.229
cmc,mlp,IsolationForest,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.248
cmc,mlp,IQR,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.251
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.136
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.116
cmc,xgboost,IsolationForest,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.093
cmc,xgboost,IQR,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.094
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.109
cmc,randomforest,ZScore,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.109
cmc,randomforest,IsolationForest,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.111
cmc,randomforest,IQR,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.106
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.274
cmc,mlp,ZScore,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.266
cmc,mlp,IsolationForest,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.266
cmc,mlp,IQR,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.265
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.102
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.138
cmc,xgboost,IsolationForest,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.189
cmc,xgboost,IQR,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.136
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.112
cmc,randomforest,ZScore,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.113
cmc,randomforest,IsolationForest,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.114
cmc,randomforest,IQR,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.111
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.261
cmc,mlp,ZScore,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.256
cmc,mlp,IsolationForest,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.259
cmc,mlp,IQR,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.261
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.100
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.113
cmc,xgboost,IsolationForest,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.097
cmc,xgboost,IQR,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.097
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.108
