dataset,model,outlier,mean,std,min,max,train_size,removed,removed_pct,time
Bank_Customer_Churn_Dataset,xgboost,None,0.82210,0.02479,0.77350,0.84200,6400,0.00,0.0000,0.199
Bank_Customer_Churn_Dataset,mlp,None,0.82670,0.01072,0.80750,0.83950,6400,0.00,0.0000,4.878
Bank_Customer_Churn_Dataset,mlp,ZScore,0.82920,0.00738,0.82400,0.84350,6400,140.60,0.0220,4.688
Bank_Customer_Churn_Dataset,mlp,IsolationForest,0.82020,0.00981,0.80350,0.83000,6400,319.00,0.0498,4.464
Bank_Customer_Churn_Dataset,mlp,IQR,0.82760,0.00857,0.81550,0.84050,6400,278.80,0.0436,4.242
Bank_Customer_Churn_Dataset,xgboost,None,0.82210,0.02479,0.77350,0.84200,6400,0.00,0.0000,0.149
Bank_Customer_Churn_Dataset,xgboost,ZScore,0.82510,0.01037,0.80900,0.84050,6400,140.60,0.0220,0.146
Bank_Customer_Churn_Dataset,xgboost,IsolationForest,0.82260,0.01087,0.80200,0.83300,6400,319.00,0.0498,0.135
Bank_Customer_Churn_Dataset,xgboost,IQR,0.82500,0.00986,0.80900,0.83900,6400,278.80,0.0436,0.137
Bank_Customer_Churn_Dataset,randomforest,None,0.81770,0.02125,0.79050,0.84850,6400,0.00,0.0000,1.144
Bank_Customer_Churn_Dataset,randomforest,ZScore,0.82130,0.01996,0.79250,0.84950,6400,140.60,0.0220,0.956
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,0.82090,0.01543,0.79700,0.84300,6400,319.00,0.0498,0.914
Bank_Customer_Churn_Dataset,randomforest,IQR,0.81700,0.01822,0.79600,0.84250,6400,278.80,0.0436,0.995
cmc,mlp,None,0.51119,0.01081,0.49831,0.52881,942,0.00,0.0000,0.757
cmc,mlp,ZScore,0.51322,0.02384,0.48136,0.54237,942,13.60,0.0144,0.934
cmc,mlp,IsolationForest,0.51593,0.01476,0.48814,0.53220,942,46.60,0.0495,0.733
cmc,mlp,IQR,0.52407,0.00873,0.51186,0.53898,942,29.00,0.0308,0.740
cmc,xgboost,None,0.52339,0.01555,0.50169,0.54915,942,0.00,0.0000,0.257
cmc,xgboost,ZScore,0.51661,0.01925,0.48814,0.54237,942,13.60,0.0144,0.227
cmc,xgboost,IsolationForest,0.51729,0.01416,0.49492,0.53898,942,46.60,0.0495,0.217
cmc,xgboost,IQR,0.52475,0.02105,0.49831,0.56271,942,29.00,0.0308,0.216
cmc,randomforest,None,0.51051,0.00973,0.49831,0.52542,942,0.00,0.0000,0.204
cmc,randomforest,ZScore,0.51458,0.00583,0.50508,0.52203,942,13.60,0.0144,0.206
cmc,randomforest,IsolationForest,0.50576,0.01552,0.47797,0.52542,942,46.60,0.0495,0.197
cmc,randomforest,IQR,0.51593,0.01596,0.49153,0.53898,942,29.00,0.0308,0.202
credit-g,mlp,None,0.71300,0.02462,0.67500,0.75000,640,0.00,0.0000,0.681
credit-g,mlp,ZScore,0.71300,0.02462,0.67500,0.75000,640,0.00,0.0000,0.534
credit-g,mlp,IQR,0.71300,0.02462,0.67500,0.75000,640,0.00,0.0000,0.521
credit-g,xgboost,None,0.73400,0.01715,0.71000,0.75500,640,0.00,0.0000,0.095
credit-g,xgboost,ZScore,0.73400,0.01715,0.71000,0.75500,640,0.00,0.0000,0.094
credit-g,xgboost,IQR,0.73400,0.01715,0.71000,0.75500,640,0.00,0.0000,0.368
credit-g,randomforest,None,0.73000,0.01140,0.71500,0.74500,640,0.00,0.0000,0.181
credit-g,randomforest,ZScore,0.73000,0.01140,0.71500,0.74500,640,0.00,0.0000,0.179
credit-g,randomforest,IQR,0.73000,0.01140,0.71500,0.74500,640,0.00,0.0000,0.177
electricity,mlp,None,0.78872,0.00326,0.78352,0.79367,28999,0.00,0.0000,15.974
electricity,mlp,ZScore,0.78557,0.00331,0.78087,0.78992,28999,344.40,0.0119,13.597
electricity,mlp,IsolationForest,0.77934,0.00194,0.77756,0.78296,28999,1449.60,0.0500,12.494
electricity,mlp,IQR,0.74401,0.00301,0.74159,0.74975,28999,5817.80,0.2006,11.979
electricity,xgboost,None,0.84716,0.00273,0.84288,0.85137,28999,0.00,0.0000,0.500
electricity,xgboost,ZScore,0.84636,0.00098,0.84519,0.84773,28999,344.40,0.0119,0.776
electricity,xgboost,IsolationForest,0.84098,0.00454,0.83504,0.84729,28999,1449.60,0.0500,0.566
electricity,xgboost,IQR,0.81139,0.00112,0.80956,0.81253,28999,5817.80,0.2006,0.734
electricity,randomforest,None,0.85276,0.00215,0.85038,0.85667,28999,0.00,0.0000,5.403
electricity,randomforest,ZScore,0.85126,0.00239,0.84784,0.85524,28999,344.40,0.0119,5.232
electricity,randomforest,IsolationForest,0.84431,0.00283,0.84078,0.84906,28999,1449.60,0.0500,5.842
electricity,randomforest,IQR,0.81125,0.00185,0.80812,0.81386,28999,5817.80,0.2006,4.790
elevators,mlp,None,0.00113,0.00026,0.00086,0.00153,10623,0.00,0.0000,0.506
elevators,mlp,ZScore,0.00184,0.00047,0.00130,0.00258,10623,1327.60,0.1250,0.296
elevators,mlp,IsolationForest,0.00114,0.00017,0.00090,0.00140,10623,531.20,0.0500,0.341
elevators,mlp,IQR,0.00635,0.00413,0.00245,0.01347,10623,4917.00,0.4629,0.213
elevators,xgboost,None,0.00001,0.00000,0.00001,0.00001,10623,0.00,0.0000,0.495
elevators,xgboost,ZScore,0.00001,0.00000,0.00001,0.00001,10623,1327.60,0.1250,0.237
elevators,xgboost,IsolationForest,0.00001,0.00000,0.00001,0.00001,10623,531.20,0.0500,0.371
