dataset,model,outlier,mean,std,min,max,train_size,removed,removed_pct,time
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.261
cmc,mlp,ZScore,0.58847,0.00346,0.58305,0.59322,942,14.00,0.0149,0.211
cmc,mlp,IsolationForest,0.58034,0.00450,0.57288,0.58644,942,47.20,0.0501,0.243
cmc,mlp,IQR,0.58305,0.01006,0.57288,0.59661,942,58.00,0.0616,0.257
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.153
cmc,xgboost,ZScore,0.51186,0.00000,0.51186,0.51186,942,14.00,0.0149,0.100
cmc,xgboost,IsolationForest,0.52000,0.01570,0.50169,0.54576,942,47.20,0.0501,0.131
cmc,xgboost,IQR,0.48475,0.00000,0.48475,0.48475,942,58.00,0.0616,0.166
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.105
cmc,randomforest,ZScore,0.52068,0.00460,0.51186,0.52542,942,14.00,0.0149,0.107
cmc,randomforest,IsolationForest,0.52814,0.00724,0.51525,0.53559,942,47.20,0.0501,0.106
cmc,randomforest,IQR,0.52136,0.00785,0.50847,0.53220,942,58.00,0.0616,0.103
cmc,mlp,None,0.58508,0.00791,0.57627,0.59661,942,0.00,0.0000,0.247
cmc,xgboost,None,0.51186,0.00000,0.51186,0.51186,942,0.00,0.0000,0.125
cmc,randomforest,None,0.52068,0.00791,0.50847,0.52881,942,0.00,0.0000,0.114
credit-g,mlp,None,0.57700,0.10652,0.42500,0.70000,640,0.00,0.0000,0.047
credit-g,mlp,IsolationForest,0.56400,0.11473,0.44000,0.70500,640,32.00,0.0500,0.042
credit-g,mlp,IQR,0.70300,0.00678,0.69500,0.71500,640,161.00,0.2516,0.041
credit-g,xgboost,None,0.80000,0.00000,0.80000,0.80000,640,0.00,0.0000,0.076
credit-g,xgboost,IsolationForest,0.78800,0.01288,0.77500,0.81000,640,32.00,0.0500,0.087
credit-g,xgboost,IQR,0.72000,0.00000,0.72000,0.72000,640,161.00,0.2516,0.055
credit-g,randomforest,None,0.76300,0.01435,0.74500,0.78500,640,0.00,0.0000,0.099
credit-g,randomforest,IsolationForest,0.76400,0.00970,0.75000,0.78000,640,32.00,0.0500,0.099
credit-g,randomforest,IQR,0.73800,0.01327,0.71500,0.75500,640,161.00,0.2516,0.091
electricity,mlp,None,0.78537,0.00287,0.78054,0.78914,28999,0.00,0.0000,6.831
electricity,mlp,ZScore,0.78733,0.00271,0.78274,0.79003,28999,349.00,0.0120,7.608
electricity,mlp,IsolationForest,0.78480,0.00334,0.77943,0.78793,28999,1450.00,0.0500,6.324
electricity,mlp,IQR,0.78239,0.00129,0.78076,0.78418,28999,5864.00,0.2022,5.522
electricity,xgboost,None,0.89694,0.00000,0.89694,0.89694,28999,0.00,0.0000,0.133
electricity,xgboost,ZScore,0.90014,0.00000,0.90014,0.90014,28999,349.00,0.0120,0.096
electricity,xgboost,IsolationForest,0.89946,0.00233,0.89727,0.90367,28999,1450.00,0.0500,0.086
electricity,xgboost,IQR,0.89430,0.00000,0.89430,0.89430,28999,5864.00,0.2022,0.082
electricity,randomforest,None,0.90105,0.00060,0.90036,0.90202,28999,0.00,0.0000,3.116
electricity,randomforest,ZScore,0.89895,0.00104,0.89772,0.90058,28999,349.00,0.0120,2.986
electricity,randomforest,IsolationForest,0.89922,0.00121,0.89705,0.90036,28999,1450.00,0.0500,2.939
electricity,randomforest,IQR,0.88860,0.00085,0.88723,0.88944,28999,5864.00,0.2022,2.228
elevators,mlp,None,0.00103,0.00035,0.00070,0.00171,10623,0.00,0.0000,0.396
elevators,mlp,ZScore,0.00154,0.00042,0.00119,0.00226,10623,1362.00,0.1282,0.289
elevators,mlp,IsolationForest,0.00113,0.00034,0.00062,0.00162,10623,532.00,0.0501,0.349
elevators,mlp,IQR,0.00525,0.00229,0.00302,0.00865,10623,5023.00,0.4728,0.188
elevators,xgboost,None,0.00001,0.00000,0.00001,0.00001,10623,0.00,0.0000,0.157
elevators,xgboost,ZScore,0.00001,0.00000,0.00001,0.00001,10623,1362.00,0.1282,0.102
elevators,xgboost,IsolationForest,0.00001,0.00000,0.00001,0.00001,10623,532.00,0.0501,0.072
elevators,xgboost,IQR,0.00001,0.00000,0.00001,0.00001,10623,5023.00,0.4728,0.051
elevators,randomforest,None,0.00001,0.00000,0.00001,0.00001,10623,0.00,0.0000,4.988
elevators,randomforest,ZScore,0.00001,0.00000,0.00001,0.00001,10623,1362.00,0.1282,4.357
elevators,randomforest,IsolationForest,0.00001,0.00000,0.00001,0.00001,10623,532.00,0.0501,4.821
elevators,randomforest,IQR,0.00001,0.00000,0.00001,0.00001,10623,5023.00,0.4728,2.254
eucalyptus,xgboost,None,0.64865,0.00000,0.64865,0.64865,470,0.00,0.0000,2.287
eucalyptus,xgboost,IsolationForest,0.64054,0.01310,0.61486,0.64865,470,24.00,0.0511,0.505
eucalyptus,randomforest,None,0.69054,0.01505,0.66216,0.70270,470,0.00,0.0000,0.112
eucalyptus,randomforest,IsolationForest,0.66216,0.01541,0.64865,0.68919,470,24.00,0.0511,0.109
eye_movements,mlp,None,0.39689,0.01504,0.37843,0.42322,6998,0.00,0.0000,0.487
eye_movements,mlp,ZScore,0.43007,0.01721,0.40539,0.45430,6998,1334.00,0.1906,0.349
eye_movements,mlp,IsolationForest,0.40859,0.03287,0.34781,0.43921,6998,350.00,0.0500,0.357
eye_movements,mlp,IQR,0.37925,0.04712,0.29159,0.43144,6998,3988.00,0.5699,0.278
eye_movements,xgboost,None,0.68967,0.00000,0.68967,0.68967,6998,0.00,0.0000,1.171
eye_movements,xgboost,ZScore,0.65951,0.00000,0.65951,0.65951,6998,1334.00,0.1906,0.841
eye_movements,xgboost,IsolationForest,0.68455,0.00519,0.68007,0.69424,6998,350.00,0.0500,1.549
eye_movements,xgboost,IQR,0.57358,0.00000,0.57358,0.57358,6998,3988.00,0.5699,0.427
eye_movements,randomforest,None,0.66152,0.00312,0.65676,0.66545,6998,0.00,0.0000,1.550
eye_movements,randomforest,ZScore,0.63483,0.00354,0.62888,0.63894,6998,1334.00,0.1906,1.221
eye_movements,randomforest,IsolationForest,0.65695,0.00550,0.64945,0.66316,6998,350.00,0.0500,1.600
eye_movements,randomforest,IQR,0.55594,0.00775,0.54753,0.56993,6998,3988.00,0.5699,0.634
house_16H,mlp,None,0.86405,0.00211,0.86064,0.86694,8632,0.00,0.0000,6.189
house_16H,mlp,ZScore,0.86635,0.00409,0.86138,0.87361,8632,1320.00,0.1529,5.207
house_16H,mlp,IsolationForest,0.86635,0.00208,0.86323,0.86879,8632,432.00,0.0500,6.226
house_16H,mlp,IQR,0.81757,0.01495,0.79948,0.83951,8632,4580.00,0.5306,3.277
house_16H,xgboost,None,0.87650,0.00309,0.87287,0.88176,8632,0.00,0.0000,0.299
house_16H,xgboost,ZScore,0.86916,0.00000,0.86916,0.86916,8632,1320.00,0.1529,0.106
house_16H,xgboost,IsolationForest,0.87569,0.00142,0.87435,0.87806,8632,432.00,0.0500,0.247
house_16H,xgboost,IQR,0.86768,0.00000,0.86768,0.86768,8632,4580.00,0.5306,0.125
house_16H,randomforest,None,0.88206,0.00143,0.88028,0.88436,8632,0.00,0.0000,2.201
