Dataset,None_score,None_removed,ZScore_score,ZScore_removed,IsolationForest_score,IsolationForest_removed,IQR_score,IQR_removed
Bank_Customer_Churn_Dataset,0.8306 ± 0.0110,0,0.8188 ± 0.0093,2.13,0.8157 ± 0.0050,5.0,0.8229 ± 0.0059,4.27
cmc,0.5207 ± 0.0079,0,0.5207 ± 0.0046,1.49,0.5281 ± 0.0072,5.01,0.5214 ± 0.0078,6.16
credit-g,0.7630 ± 0.0143,0,0.7070 ± 0.0087,0.0,0.7640 ± 0.0097,5.0,0.7380 ± 0.0133,25.16
electricity,0.9011 ± 0.0006,0,0.8990 ± 0.0010,1.2,0.8992 ± 0.0012,5.0,0.8886 ± 0.0008,20.22
elevators,0.0000 ± 0.0000,0,0.0000 ± 0.0000,12.82,0.0000 ± 0.0000,5.01,0.0000 ± 0.0000,47.28
eucalyptus,0.6905 ± 0.0150,0,0.2351 ± 0.0527,0.0,0.6622 ± 0.0154,5.11,0.2351 ± 0.0527,0.0
eye_movements,0.6615 ± 0.0031,0,0.6348 ± 0.0035,19.06,0.6570 ± 0.0055,5.0,0.5559 ± 0.0077,56.99
house_16H,0.8821 ± 0.0014,0,0.8715 ± 0.0008,15.29,0.8783 ± 0.0015,5.0,0.8669 ± 0.0025,53.06
kc1,0.8706 ± 0.0044,0,0.8611 ± 0.0032,8.38,0.8716 ± 0.0063,5.04,0.8479 ± 0.0055,33.43
phoneme,0.8859 ± 0.0031,0,0.8877 ± 0.0039,2.52,0.8871 ± 0.0035,5.0,0.8583 ± 0.0044,22.67
pol,0.9823 ± 0.0010,0,0.8946 ± 0.0016,35.8,0.9822 ± 0.0008,5.01,0.6896 ± 0.0019,87.9
socmob,1681.1012 ± 32.1996,0,1841.5621 ± 35.9331,1.35,1885.7370 ± 9.2669,4.98,1836.6463 ± 6.9607,14.07
vehicle,0.7329 ± 0.0115,0,0.7294 ± 0.0144,3.33,0.7247 ± 0.0146,5.0,0.7224 ± 0.0155,5.19
