Dataset,None,ZScore,Δ ZScore,IsolationForest,Δ IsolationForest,IQR,Δ IQR
AVG Δ,,,+15.9928,,+23.0515,,+29.5873
Bank_Customer_Churn_Dataset,0.7670,0.7850,+0.0180,0.7919,+0.0249,0.7960,+0.0290
cmc,0.5119,0.5119,+0.0000,0.5200,+0.0081,0.4848,-0.0271
credit-g,0.8000,0.7000,-0.1000,0.7880,-0.0120,0.7200,-0.0800
electricity,0.8969,0.9001,+0.0032,0.8995,+0.0025,0.8943,-0.0026
elevators,0.0000,0.0000,+0.0000,0.0000,+0.0000,0.0000,+0.0000
eucalyptus,0.6486,0.2432,-0.4054,0.6405,-0.0081,0.2432,-0.4054
eye_movements,0.6897,0.6595,-0.0302,0.6845,-0.0051,0.5736,-0.1161
house_16H,0.8765,0.8692,-0.0073,0.8757,-0.0008,0.8677,-0.0088
kc1,0.8744,0.8673,-0.0071,0.8673,-0.0071,0.8317,-0.0427
phoneme,0.8779,0.8751,-0.0028,0.8670,-0.0109,0.8474,-0.0305
pol,0.9841,0.8904,-0.0937,0.9835,-0.0006,0.6986,-0.2856
socmob,1395.6390,1604.1936,+208.5547,1695.3344,+299.6954,1781.2618,+385.6229
vehicle,0.7765,0.7529,-0.0235,0.7600,-0.0165,0.7588,-0.0176
