Dataset,None_score,None_removed,ZScore_score,ZScore_removed,IsolationForest_score,IsolationForest_removed,IQR_score,IQR_removed
Bank_Customer_Churn_Dataset,0.7670 ± 0.0000,0,0.7850 ± 0.0000,2.13,0.7919 ± 0.0042,5.0,0.7960 ± 0.0000,4.27
cmc,0.5119 ± 0.0000,0,0.5119 ± 0.0000,1.49,0.5200 ± 0.0157,5.01,0.4848 ± 0.0000,6.16
credit-g,0.8000 ± 0.0000,0,0.7000 ± 0.0000,0.0,0.7880 ± 0.0129,5.0,0.7200 ± 0.0000,25.16
electricity,0.8969 ± 0.0000,0,0.9001 ± 0.0000,1.2,0.8995 ± 0.0023,5.0,0.8943 ± 0.0000,20.22
elevators,0.0000 ± 0.0000,0,0.0000 ± 0.0000,12.82,0.0000 ± 0.0000,5.01,0.0000 ± 0.0000,47.28
eucalyptus,0.6486 ± 0.0000,0,0.2432 ± 0.0000,0.0,0.6405 ± 0.0131,5.11,0.2432 ± 0.0000,0.0
eye_movements,0.6897 ± 0.0000,0,0.6595 ± 0.0000,19.06,0.6845 ± 0.0052,5.0,0.5736 ± 0.0000,56.99
house_16H,0.8765 ± 0.0031,0,0.8692 ± 0.0000,15.29,0.8757 ± 0.0014,5.0,0.8677 ± 0.0000,53.06
kc1,0.8744 ± 0.0000,0,0.8673 ± 0.0000,8.38,0.8673 ± 0.0037,5.04,0.8317 ± 0.0000,33.43
phoneme,0.8779 ± 0.0000,0,0.8751 ± 0.0000,2.52,0.8670 ± 0.0035,5.0,0.8474 ± 0.0000,22.67
pol,0.9841 ± 0.0000,0,0.8904 ± 0.0000,35.8,0.9835 ± 0.0008,5.01,0.6986 ± 0.0000,87.9
socmob,1395.6390 ± 0.0000,0,1604.1936 ± 0.0000,1.35,1695.3344 ± 36.4675,4.98,1781.2618 ± 0.0000,14.07
vehicle,0.7765 ± 0.0000,0,0.7529 ± 0.0000,3.33,0.7600 ± 0.0094,5.0,0.7588 ± 0.0000,5.19
