dataset,model,detector,treatment,mean,std,train_size,removed,removed_pct,clipped_values,clipped_rows,clipped_pct,outlier_pct,time
Bank_Customer_Churn_Dataset,mlp,None,remove,0.826800,0.010930,6400,0.00,0.000000,0.00,0.00,0.000000,0.000000,4.779
Bank_Customer_Churn_Dataset,mlp,ZScore,remove,0.828000,0.007232,6259,140.60,0.021969,0.00,0.00,0.000000,0.021969,4.672
Bank_Customer_Churn_Dataset,mlp,ZScore,clip,0.822300,0.014260,6400,0.00,0.000000,140.60,140.60,0.021969,0.021969,4.694
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0.815100,0.006012,3958,2441.60,0.381500,0.00,0.00,0.000000,0.381500,2.701
Bank_Customer_Churn_Dataset,mlp,Percentile,clip,0.809600,0.006061,6400,0.00,0.000000,2912.40,2441.60,0.381500,0.381500,4.231
Bank_Customer_Churn_Dataset,mlp,IsolationForest,remove,0.826500,0.011136,6081,319.00,0.049844,0.00,0.00,0.000000,0.049844,4.267
Bank_Customer_Churn_Dataset,mlp,LOF,remove,0.832800,0.011138,6080,319.60,0.049938,0.00,0.00,0.000000,0.049938,4.363
Bank_Customer_Churn_Dataset,mlp,Autoencoder,remove,0.828200,0.013048,6079,320.80,0.050125,0.00,0.00,0.000000,0.050125,4.211
Bank_Customer_Churn_Dataset,xgboost,None,remove,0.804000,0.025848,6400,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.073
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0.809700,0.012655,6259,140.60,0.021969,0.00,0.00,0.000000,0.021969,0.069
Bank_Customer_Churn_Dataset,xgboost,ZScore,clip,0.788500,0.050811,6400,0.00,0.000000,140.60,140.60,0.021969,0.021969,0.073
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0.791700,0.017611,3958,2441.60,0.381500,0.00,0.00,0.000000,0.381500,0.064
Bank_Customer_Churn_Dataset,xgboost,Percentile,clip,0.794500,0.024968,6400,0.00,0.000000,2912.40,2441.60,0.381500,0.381500,0.071
Bank_Customer_Churn_Dataset,xgboost,IsolationForest,remove,0.806600,0.008071,6081,319.00,0.049844,0.00,0.00,0.000000,0.049844,0.077
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0.808500,0.019032,6080,319.60,0.049938,0.00,0.00,0.000000,0.049938,0.076
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0.798600,0.034248,6079,320.80,0.050125,0.00,0.00,0.000000,0.050125,0.073
Bank_Customer_Churn_Dataset,randomforest,None,remove,0.818100,0.018394,6400,0.00,0.000000,0.00,0.00,0.000000,0.000000,1.045
Bank_Customer_Churn_Dataset,randomforest,ZScore,remove,0.816400,0.019461,6259,140.60,0.021969,0.00,0.00,0.000000,0.021969,0.962
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0.815000,0.019660,6400,0.00,0.000000,140.60,140.60,0.021969,0.021969,1.450
Bank_Customer_Churn_Dataset,randomforest,Percentile,remove,0.796100,0.035401,3958,2441.60,0.381500,0.00,0.00,0.000000,0.381500,0.590
Bank_Customer_Churn_Dataset,randomforest,Percentile,clip,0.814600,0.016557,6400,0.00,0.000000,2912.40,2441.60,0.381500,0.381500,0.885
Bank_Customer_Churn_Dataset,randomforest,IsolationForest,remove,0.807400,0.024434,6081,319.00,0.049844,0.00,0.00,0.000000,0.049844,0.937
Bank_Customer_Churn_Dataset,randomforest,LOF,remove,0.830300,0.016780,6080,319.60,0.049938,0.00,0.00,0.000000,0.049938,0.921
Bank_Customer_Churn_Dataset,randomforest,Autoencoder,remove,0.826300,0.016336,6079,320.80,0.050125,0.00,0.00,0.000000,0.050125,1.374
cmc,mlp,None,remove,0.506441,0.013993,942,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.688
cmc,mlp,ZScore,remove,0.513220,0.021180,928,13.60,0.014437,0.00,0.00,0.000000,0.014437,0.674
cmc,mlp,ZScore,clip,0.503729,0.023150,942,0.00,0.000000,13.60,13.60,0.014437,0.014437,0.712
cmc,mlp,Percentile,remove,0.502373,0.009918,850,91.20,0.096815,0.00,0.00,0.000000,0.096815,0.676
cmc,mlp,Percentile,clip,0.507119,0.013993,942,0.00,0.000000,97.40,91.20,0.096815,0.096815,0.713
cmc,mlp,IsolationForest,remove,0.511864,0.017017,895,46.60,0.049469,0.00,0.00,0.000000,0.049469,0.700
cmc,mlp,LOF,remove,0.501695,0.015608,894,47.40,0.050318,0.00,0.00,0.000000,0.050318,1.122
cmc,mlp,Autoencoder,remove,0.497627,0.012935,891,51.00,0.054140,0.00,0.00,0.000000,0.054140,0.688
cmc,xgboost,None,remove,0.516610,0.019248,942,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.089
cmc,xgboost,ZScore,remove,0.501695,0.018813,928,13.60,0.014437,0.00,0.00,0.000000,0.014437,0.095
cmc,xgboost,ZScore,clip,0.512542,0.020271,942,0.00,0.000000,13.60,13.60,0.014437,0.014437,0.098
cmc,xgboost,Percentile,remove,0.489492,0.016412,850,91.20,0.096815,0.00,0.00,0.000000,0.096815,0.090
cmc,xgboost,Percentile,clip,0.500339,0.006287,942,0.00,0.000000,97.40,91.20,0.096815,0.096815,0.092
cmc,xgboost,IsolationForest,remove,0.508475,0.017679,895,46.60,0.049469,0.00,0.00,0.000000,0.049469,0.101
cmc,xgboost,LOF,remove,0.502373,0.016243,894,47.40,0.050318,0.00,0.00,0.000000,0.050318,0.103
cmc,xgboost,Autoencoder,remove,0.499661,0.013146,891,51.00,0.054140,0.00,0.00,0.000000,0.054140,0.098
cmc,randomforest,None,remove,0.517966,0.011821,942,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.197
cmc,randomforest,ZScore,remove,0.509831,0.011664,928,13.60,0.014437,0.00,0.00,0.000000,0.014437,0.201
cmc,randomforest,ZScore,clip,0.518644,0.014853,942,0.00,0.000000,13.60,13.60,0.014437,0.014437,0.195
cmc,randomforest,Percentile,remove,0.484746,0.021864,850,91.20,0.096815,0.00,0.00,0.000000,0.096815,0.191
cmc,randomforest,Percentile,clip,0.498983,0.012014,942,0.00,0.000000,97.40,91.20,0.096815,0.096815,0.204
cmc,randomforest,IsolationForest,remove,0.504407,0.013457,895,46.60,0.049469,0.00,0.00,0.000000,0.049469,0.195
cmc,randomforest,LOF,remove,0.512542,0.016799,894,47.40,0.050318,0.00,0.00,0.000000,0.050318,0.201
cmc,randomforest,Autoencoder,remove,0.494915,0.012128,891,51.00,0.054140,0.00,0.00,0.000000,0.054140,0.206
connect-4,mlp,None,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,27.504
connect-4,mlp,ZScore,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,28.455
connect-4,mlp,ZScore,clip,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,28.154
connect-4,mlp,Percentile,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.142
connect-4,mlp,Percentile,clip,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,31.815
connect-4,mlp,IsolationForest,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,31.971
connect-4,mlp,LOF,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,31.671
connect-4,mlp,Autoencoder,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,30.814
connect-4,xgboost,None,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.906
connect-4,xgboost,ZScore,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.894
connect-4,xgboost,ZScore,clip,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.859
connect-4,xgboost,Percentile,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.857
connect-4,xgboost,Percentile,clip,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.890
connect-4,xgboost,IsolationForest,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,1.220
connect-4,xgboost,LOF,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.855
connect-4,xgboost,Autoencoder,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,1.300
connect-4,randomforest,None,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,5.449
connect-4,randomforest,ZScore,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,5.909
connect-4,randomforest,ZScore,clip,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,5.591
connect-4,randomforest,Percentile,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,5.789
connect-4,randomforest,Percentile,clip,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,5.765
connect-4,randomforest,IsolationForest,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,6.499
connect-4,randomforest,LOF,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,5.729
connect-4,randomforest,Autoencoder,remove,0.796921,0.001979,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,5.802
credit-g,mlp,None,remove,0.688000,0.023791,640,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.573
credit-g,mlp,ZScore,remove,0.687000,0.020396,607,32.20,0.050312,0.00,0.00,0.000000,0.050312,0.513
credit-g,mlp,ZScore,clip,0.696000,0.026721,640,0.00,0.000000,34.20,32.20,0.050312,0.050312,0.554
credit-g,mlp,Percentile,remove,0.676000,0.025962,493,146.20,0.228437,0.00,0.00,0.000000,0.228437,0.405
credit-g,mlp,Percentile,clip,0.687000,0.022935,640,0.00,0.000000,162.40,146.20,0.228437,0.228437,0.568
credit-g,mlp,IsolationForest,remove,0.698000,0.018601,608,31.40,0.049063,0.00,0.00,0.000000,0.049063,1.008
credit-g,mlp,LOF,remove,0.694000,0.013191,609,30.80,0.048125,0.00,0.00,0.000000,0.048125,0.527
credit-g,mlp,Autoencoder,remove,0.682000,0.013638,608,32.00,0.050000,0.00,0.00,0.000000,0.050000,0.538
credit-g,xgboost,None,remove,0.726000,0.005831,640,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.054
credit-g,xgboost,ZScore,remove,0.742000,0.023580,607,32.20,0.050312,0.00,0.00,0.000000,0.050312,0.053
credit-g,xgboost,ZScore,clip,0.704000,0.015937,640,0.00,0.000000,34.20,32.20,0.050312,0.050312,0.048
credit-g,xgboost,Percentile,remove,0.725000,0.017029,493,146.20,0.228437,0.00,0.00,0.000000,0.228437,0.046
credit-g,xgboost,Percentile,clip,0.737000,0.025807,640,0.00,0.000000,162.40,146.20,0.228437,0.228437,0.053
credit-g,xgboost,IsolationForest,remove,0.735000,0.018166,608,31.40,0.049063,0.00,0.00,0.000000,0.049063,0.045
credit-g,xgboost,LOF,remove,0.719000,0.016553,609,30.80,0.048125,0.00,0.00,0.000000,0.048125,0.047
credit-g,xgboost,Autoencoder,remove,0.725000,0.006325,608,32.00,0.050000,0.00,0.00,0.000000,0.050000,0.049
credit-g,randomforest,None,remove,0.737000,0.021587,640,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.198
credit-g,randomforest,ZScore,remove,0.721000,0.016553,607,32.20,0.050312,0.00,0.00,0.000000,0.050312,0.189
credit-g,randomforest,ZScore,clip,0.736000,0.019339,640,0.00,0.000000,34.20,32.20,0.050312,0.050312,0.205
credit-g,randomforest,Percentile,remove,0.728000,0.028390,493,146.20,0.228437,0.00,0.00,0.000000,0.228437,0.179
credit-g,randomforest,Percentile,clip,0.732000,0.011662,640,0.00,0.000000,162.40,146.20,0.228437,0.228437,0.198
credit-g,randomforest,IsolationForest,remove,0.725000,0.017029,608,31.40,0.049063,0.00,0.00,0.000000,0.049063,0.540
credit-g,randomforest,LOF,remove,0.722000,0.011662,609,30.80,0.048125,0.00,0.00,0.000000,0.048125,0.195
credit-g,randomforest,Autoencoder,remove,0.741000,0.024372,608,32.00,0.050000,0.00,0.00,0.000000,0.050000,0.189
electricity,mlp,None,remove,0.788172,0.002744,28999,0.00,0.000000,0.00,0.00,0.000000,0.000000,16.682
electricity,mlp,ZScore,remove,0.785369,0.003865,28654,344.40,0.011876,0.00,0.00,0.000000,0.011876,16.257
