dataset,model,outlier,run,seed,score
Bank_Customer_Churn_Dataset,xgboost,None,0,42,0.84200
Bank_Customer_Churn_Dataset,xgboost,None,1,43,0.83650
Bank_Customer_Churn_Dataset,xgboost,None,2,44,0.82750
Bank_Customer_Churn_Dataset,xgboost,None,3,45,0.83100
Bank_Customer_Churn_Dataset,xgboost,None,4,46,0.77350
Bank_Customer_Churn_Dataset,mlp,None,0,42,0.83950
Bank_Customer_Churn_Dataset,mlp,None,1,43,0.82900
Bank_Customer_Churn_Dataset,mlp,None,2,44,0.80750
Bank_Customer_Churn_Dataset,mlp,None,3,45,0.83250
Bank_Customer_Churn_Dataset,mlp,None,4,46,0.82500
