dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,0,0.7953125
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,1,0.8234375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,2,0.8078125
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,3,0.8
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,4,0.79375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,5,0.778125
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,6,0.784375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,7,0.8171875
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,8,0.80625
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,0,9,0.8078125
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,0,0.809375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,1,0.7984375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,2,0.803125
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,3,0.79375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,4,0.8265625
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,5,0.784375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,6,0.8140625
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,7,0.759375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,8,0.7765625
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,1,9,0.8046875
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,0,0.790625
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,1,0.8046875
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,2,0.7890625
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,3,0.821875
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,4,0.7859375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,5,0.7875
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,6,0.8078125
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,7,0.7828125
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,8,0.784375
Bank_Customer_Churn_Dataset,mlp,Percentile,remove,2,9,0.809375
