dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,0,0.8265625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,1,0.8375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,2,0.821875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,3,0.81875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,4,0.8140625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,5,0.8140625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,6,0.8125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,7,0.83125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,8,0.8359375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,0,9,0.846875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,0,0.85
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,1,0.8234375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,2,0.8296875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,3,0.809375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,4,0.8640625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,5,0.796875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,6,0.85625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,7,0.790625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,8,0.8125
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,1,9,0.8484375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,0,0.815625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,1,0.840625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,2,0.815625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,3,0.840625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,4,0.815625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,5,0.815625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,6,0.8390625
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,7,0.81875
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,8,0.8234375
Bank_Customer_Churn_Dataset,mlp_deep,Percentile,clip,2,9,0.821875
