dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,0,0.8234375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,1,0.834375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,2,0.84375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,3,0.8171875
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,4,0.8203125
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,5,0.8359375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,6,0.8
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,7,0.79375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,8,0.8546875
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,0,9,0.8140625
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,0,0.8296875
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,1,0.8296875
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,2,0.8125
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,3,0.84375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,4,0.8234375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,5,0.80625
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,6,0.8421875
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,7,0.8140625
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,8,0.8109375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,1,9,0.8375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,0,0.821875
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,1,0.8375
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,2,0.83125
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,3,0.8421875
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,4,0.8265625
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,5,0.83125
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,6,0.8453125
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,7,0.815625
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,8,0.8015625
Bank_Customer_Churn_Dataset,randomforest,ZScore,clip,2,9,0.85625
