dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,0,0.7375
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,1,0.7109375
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,2,0.81875
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,3,0.8015625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,4,0.7390625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,5,0.7984375
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,6,0.76875
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,7,0.80625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,8,0.8125
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,0,9,0.6453125
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,0,0.7890625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,1,0.784375
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,2,0.8125
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,3,0.7546875
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,4,0.840625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,5,0.7421875
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,6,0.746875
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,7,0.7765625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,8,0.8015625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,1,9,0.759375
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,0,0.784375
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,1,0.7703125
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,2,0.7265625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,3,0.7796875
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,4,0.7828125
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,5,0.7953125
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,6,0.8390625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,7,0.75625
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,8,0.75
Bank_Customer_Churn_Dataset,xgboost,Autoencoder,remove,2,9,0.7921875
