dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,0,0.753125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,1,0.79375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,2,0.79375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,3,0.78125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,4,0.75625
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,5,0.828125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,6,0.79375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,7,0.7484375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,8,0.7859375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,0,9,0.73125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,0,0.7578125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,1,0.746875
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,2,0.8046875
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,3,0.7328125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,4,0.8125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,5,0.7234375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,6,0.79375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,7,0.7765625
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,8,0.7765625
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,1,9,0.7140625
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,0,0.775
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,1,0.7765625
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,2,0.709375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,3,0.7390625
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,4,0.79375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,5,0.7453125
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,6,0.84375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,7,0.7734375
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,8,0.7
Bank_Customer_Churn_Dataset,xgboost,LOF,remove,2,9,0.7671875
