dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,0,0.7890625
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,1,0.76875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,2,0.7890625
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,3,0.7671875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,4,0.7484375
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,5,0.7875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,6,0.7421875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,7,0.7421875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,8,0.8
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,0,9,0.803125
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,0,0.7671875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,1,0.778125
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,2,0.721875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,3,0.7546875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,4,0.8078125
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,5,0.7625
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,6,0.83125
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,7,0.775
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,8,0.7953125
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,1,9,0.7015625
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,0,0.7234375
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,1,0.7921875
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,2,0.7765625
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,3,0.8015625
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,4,0.7734375
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,5,0.7828125
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,6,0.78125
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,7,0.79375
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,8,0.7640625
Bank_Customer_Churn_Dataset,xgboost,Percentile,remove,2,9,0.7546875
