dataset,model,detector,treatment,run,fold,score
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,0,0.7734375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,1,0.7421875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,2,0.809375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,3,0.790625
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,4,0.7453125
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,5,0.8078125
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,6,0.775
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,7,0.74375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,8,0.7921875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,0,9,0.71875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,0,0.7703125
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,1,0.759375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,2,0.8015625
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,3,0.771875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,4,0.8359375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,5,0.76875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,6,0.7796875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,7,0.7546875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,8,0.775
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,1,9,0.7625
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,0,0.759375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,1,0.7734375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,2,0.7796875
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,3,0.775
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,4,0.7859375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,5,0.759375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,6,0.84375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,7,0.7765625
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,8,0.7375
Bank_Customer_Churn_Dataset,xgboost,ZScore,remove,2,9,0.821875
