dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,0,12880.160160871485
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,1,12002.962901347215
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,2,12550.643904685194
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,3,12180.786721246694
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,4,11086.942729208386
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,5,11963.06066664149
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,6,11671.525114593283
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,7,10584.108417979594
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,8,11068.179022231887
Bike_Sharing_Demand,mlp,Autoencoder,remove,0,9,11546.35630789173
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,0,11600.514550531572
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,1,12142.155964368756
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,2,11392.563538059127
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,3,11433.216667064687
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,4,12060.580953883042
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,5,12182.424152412004
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,6,11156.938317861519
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,7,11558.350394164683
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,8,11554.60227202894
Bike_Sharing_Demand,mlp,Autoencoder,remove,1,9,11911.97785556661
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,0,12242.137868810829
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,1,13206.544548371005
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,2,12243.806523215442
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,3,10709.884131413593
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,4,11194.05263149923
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,5,12483.501771805422
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,6,12070.146005392302
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,7,11624.923206640646
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,8,14652.997527865748
Bike_Sharing_Demand,mlp,Autoencoder,remove,2,9,11317.05107830013
