dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,0,12967.755267474475
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,1,12103.78982122776
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,2,12215.481311847208
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,3,11990.316039315552
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,4,11015.982851278115
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,5,13099.183026753497
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,6,11574.348686588768
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,7,10384.427541484136
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,8,11243.99632390803
Bike_Sharing_Demand,mlp,IsolationForest,remove,0,9,11496.891009853443
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,0,11516.380936945267
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,1,12770.707625486191
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,2,11895.593918780478
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,3,11387.3242859962
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,4,11986.08350951795
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,5,12102.187515935135
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,6,11182.588137340963
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,7,12286.217241885663
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,8,11563.447162702289
Bike_Sharing_Demand,mlp,IsolationForest,remove,1,9,26189.403752837017
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,0,11866.79134192763
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,1,12208.654258952936
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,2,12575.748091529214
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,3,11170.15213488903
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,4,11373.247662971851
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,5,12565.614261232793
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,6,12067.087733428765
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,7,11731.93882991479
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,8,14529.463375067262
Bike_Sharing_Demand,mlp,IsolationForest,remove,2,9,12239.19313240544
