dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,mlp,LOF,remove,0,0,12974.9148086035
Bike_Sharing_Demand,mlp,LOF,remove,0,1,12191.330577141222
Bike_Sharing_Demand,mlp,LOF,remove,0,2,12542.743735994856
Bike_Sharing_Demand,mlp,LOF,remove,0,3,12141.663268362336
Bike_Sharing_Demand,mlp,LOF,remove,0,4,10896.623358589148
Bike_Sharing_Demand,mlp,LOF,remove,0,5,12288.227652011403
Bike_Sharing_Demand,mlp,LOF,remove,0,6,11525.447601485665
Bike_Sharing_Demand,mlp,LOF,remove,0,7,10525.040165701721
Bike_Sharing_Demand,mlp,LOF,remove,0,8,11098.964430821861
Bike_Sharing_Demand,mlp,LOF,remove,0,9,11414.26634552991
Bike_Sharing_Demand,mlp,LOF,remove,1,0,11646.466163847914
Bike_Sharing_Demand,mlp,LOF,remove,1,1,12522.498136275828
Bike_Sharing_Demand,mlp,LOF,remove,1,2,11647.914165372196
Bike_Sharing_Demand,mlp,LOF,remove,1,3,11443.216345788403
Bike_Sharing_Demand,mlp,LOF,remove,1,4,11966.296203758762
Bike_Sharing_Demand,mlp,LOF,remove,1,5,12127.736313265275
Bike_Sharing_Demand,mlp,LOF,remove,1,6,10938.13268076966
Bike_Sharing_Demand,mlp,LOF,remove,1,7,11494.54903892963
Bike_Sharing_Demand,mlp,LOF,remove,1,8,11426.31335465651
Bike_Sharing_Demand,mlp,LOF,remove,1,9,11893.38910411844
Bike_Sharing_Demand,mlp,LOF,remove,2,0,11933.445264057342
Bike_Sharing_Demand,mlp,LOF,remove,2,1,13158.461878551774
Bike_Sharing_Demand,mlp,LOF,remove,2,2,12452.610030987169
Bike_Sharing_Demand,mlp,LOF,remove,2,3,11056.209029362097
Bike_Sharing_Demand,mlp,LOF,remove,2,4,11257.765419490694
Bike_Sharing_Demand,mlp,LOF,remove,2,5,12291.464544500328
Bike_Sharing_Demand,mlp,LOF,remove,2,6,12152.48647904847
Bike_Sharing_Demand,mlp,LOF,remove,2,7,11561.907651479427
Bike_Sharing_Demand,mlp,LOF,remove,2,8,14894.61910379932
Bike_Sharing_Demand,mlp,LOF,remove,2,9,11167.174195582702
