dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,mlp,Percentile,clip,0,0,12995.868994833243
Bike_Sharing_Demand,mlp,Percentile,clip,0,1,12530.407990638381
Bike_Sharing_Demand,mlp,Percentile,clip,0,2,12422.819300337886
Bike_Sharing_Demand,mlp,Percentile,clip,0,3,12436.478036294095
Bike_Sharing_Demand,mlp,Percentile,clip,0,4,11132.73143087038
Bike_Sharing_Demand,mlp,Percentile,clip,0,5,12379.519732019506
Bike_Sharing_Demand,mlp,Percentile,clip,0,6,11733.012564782348
Bike_Sharing_Demand,mlp,Percentile,clip,0,7,10539.902256599951
Bike_Sharing_Demand,mlp,Percentile,clip,0,8,11296.645697627548
Bike_Sharing_Demand,mlp,Percentile,clip,0,9,11717.802011595606
Bike_Sharing_Demand,mlp,Percentile,clip,1,0,12022.88969554556
Bike_Sharing_Demand,mlp,Percentile,clip,1,1,12791.051679741338
Bike_Sharing_Demand,mlp,Percentile,clip,1,2,11506.962247925827
Bike_Sharing_Demand,mlp,Percentile,clip,1,3,11606.007178301152
Bike_Sharing_Demand,mlp,Percentile,clip,1,4,12078.345031315463
Bike_Sharing_Demand,mlp,Percentile,clip,1,5,12181.428366282656
Bike_Sharing_Demand,mlp,Percentile,clip,1,6,11180.571633188832
Bike_Sharing_Demand,mlp,Percentile,clip,1,7,11866.309737301137
Bike_Sharing_Demand,mlp,Percentile,clip,1,8,11474.18879878002
Bike_Sharing_Demand,mlp,Percentile,clip,1,9,12260.461501231623
Bike_Sharing_Demand,mlp,Percentile,clip,2,0,12209.76260767893
Bike_Sharing_Demand,mlp,Percentile,clip,2,1,12758.507902662164
Bike_Sharing_Demand,mlp,Percentile,clip,2,2,12481.766909240816
Bike_Sharing_Demand,mlp,Percentile,clip,2,3,11216.04443577554
Bike_Sharing_Demand,mlp,Percentile,clip,2,4,11506.04657638594
Bike_Sharing_Demand,mlp,Percentile,clip,2,5,12505.737731148265
Bike_Sharing_Demand,mlp,Percentile,clip,2,6,12118.472153240165
Bike_Sharing_Demand,mlp,Percentile,clip,2,7,11908.10867642353
Bike_Sharing_Demand,mlp,Percentile,clip,2,8,15705.494039146222
Bike_Sharing_Demand,mlp,Percentile,clip,2,9,11337.225119408879
