dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,0,6360.608223959127
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,1,5688.195428872064
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,2,4339.943678710711
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,3,6899.602318251068
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,4,6940.243443463454
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,5,6201.547001732247
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,6,7199.817879466846
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,7,5829.420330750561
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,8,5198.959382685188
Bike_Sharing_Demand,mlp_deep,LOF,remove,0,9,6577.640548313859
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,0,6418.612028883702
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,1,4947.943636458838
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,2,6169.636956955198
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,3,4271.016756700299
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,4,6819.645525518595
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,5,7288.5104340803355
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,6,5059.763586344238
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,7,4154.120308432055
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,8,4289.347481101344
Bike_Sharing_Demand,mlp_deep,LOF,remove,1,9,6657.83035452337
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,0,5661.6592178007595
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,1,6057.892500850456
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,2,6389.003909815121
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,3,5573.288268512061
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,4,6212.119935865613
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,5,5695.267304831203
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,6,6510.343911463153
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,7,5173.001790215428
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,8,6410.676868487561
Bike_Sharing_Demand,mlp_deep,LOF,remove,2,9,6103.203138679453
