dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,0,6034.462006435508
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,1,4060.4923224267486
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,2,5744.7845427912625
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,3,6642.536892749191
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,4,5279.423892812909
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,5,4902.429335401418
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,6,5961.338531164826
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,7,5375.307707921574
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,8,5173.731575369419
Bike_Sharing_Demand,mlp_deep,Percentile,clip,0,9,6099.369516485484
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,0,6072.235058911511
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,1,6346.55787359763
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,2,4475.182221476777
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,3,4603.379868426112
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,4,5249.579365939168
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,5,6047.855020879029
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,6,5122.174628543496
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,7,4922.187980382593
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,8,5312.475649501086
Bike_Sharing_Demand,mlp_deep,Percentile,clip,1,9,6417.859240353652
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,0,5253.886343960436
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,1,6157.038636840618
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,2,5913.994045916566
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,3,5346.490092408847
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,4,4946.449739112321
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,5,5203.839447319151
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,6,5484.188973487571
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,7,5175.943326476422
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,8,5489.672634650868
Bike_Sharing_Demand,mlp_deep,Percentile,clip,2,9,5869.903612669204
