dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,0,2788.4090226773733
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,1,1686.9052447223721
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,2,1922.868978641212
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,3,1801.4286308227167
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,4,2010.786976396383
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,5,2095.6426053394534
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,6,2300.367209867256
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,7,2282.5276647745804
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,8,2035.907650643885
Bike_Sharing_Demand,randomforest,Autoencoder,remove,0,9,2708.9875573141485
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,0,2406.109889001822
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,1,2161.343504408131
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,2,2357.319917943917
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,3,2399.9335161951685
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,4,2150.0540692421064
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,5,1663.318285033848
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,6,2485.8268878863655
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,7,1740.7482777904177
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,8,1866.2758393998802
Bike_Sharing_Demand,randomforest,Autoencoder,remove,1,9,2200.8320517517486
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,0,1888.024363474768
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,1,2065.451186954402
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,2,2138.9191002922666
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,3,1788.1554062164018
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,4,2151.5119334322544
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,5,2338.0413876094876
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,6,2580.864430227543
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,7,2010.1688668496452
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,8,2113.788871523756
Bike_Sharing_Demand,randomforest,Autoencoder,remove,2,9,1933.4520445524827
