dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,0,2782.9222793028603
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,1,1856.0914510837822
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,2,2053.6719142092575
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,3,2306.675130549835
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,4,2105.7886117639887
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,5,2065.592482188874
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,6,2349.1112707223474
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,7,2518.6439567038356
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,8,2124.085434040043
Bike_Sharing_Demand,randomforest,IsolationForest,remove,0,9,2755.7868735740653
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,0,2431.293766190077
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,1,2271.642453994359
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,2,2617.578697684627
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,3,2642.7238805405673
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,4,2255.443738167991
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,5,1755.1686146357863
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,6,2688.7790236334686
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,7,1911.371864438749
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,8,1918.1901240618506
Bike_Sharing_Demand,randomforest,IsolationForest,remove,1,9,2178.444048649907
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,0,2021.2116208012874
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,1,2325.676736624913
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,2,2380.872329227343
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,3,1845.867037901304
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,4,2271.0332197081834
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,5,2306.2078369031024
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,6,2489.864664876574
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,7,2042.3342010391684
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,8,2291.977536893543
Bike_Sharing_Demand,randomforest,IsolationForest,remove,2,9,2004.428568296313
