dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,randomforest,Percentile,clip,0,0,4348.446431077786
Bike_Sharing_Demand,randomforest,Percentile,clip,0,1,3189.4145001222105
Bike_Sharing_Demand,randomforest,Percentile,clip,0,2,3226.760124614686
Bike_Sharing_Demand,randomforest,Percentile,clip,0,3,3219.1219794414906
Bike_Sharing_Demand,randomforest,Percentile,clip,0,4,3275.327231756113
Bike_Sharing_Demand,randomforest,Percentile,clip,0,5,3424.9786156277996
Bike_Sharing_Demand,randomforest,Percentile,clip,0,6,3221.730934526019
Bike_Sharing_Demand,randomforest,Percentile,clip,0,7,3185.7732652665663
Bike_Sharing_Demand,randomforest,Percentile,clip,0,8,2988.32017042486
Bike_Sharing_Demand,randomforest,Percentile,clip,0,9,3999.276851101457
Bike_Sharing_Demand,randomforest,Percentile,clip,1,0,3410.728643508131
Bike_Sharing_Demand,randomforest,Percentile,clip,1,1,3510.1703164848695
Bike_Sharing_Demand,randomforest,Percentile,clip,1,2,3228.983319798898
Bike_Sharing_Demand,randomforest,Percentile,clip,1,3,3692.173795287906
Bike_Sharing_Demand,randomforest,Percentile,clip,1,4,3891.699650173429
Bike_Sharing_Demand,randomforest,Percentile,clip,1,5,3604.733793222078
Bike_Sharing_Demand,randomforest,Percentile,clip,1,6,3326.8281040970182
Bike_Sharing_Demand,randomforest,Percentile,clip,1,7,2739.3300356565246
Bike_Sharing_Demand,randomforest,Percentile,clip,1,8,2823.6349181480236
Bike_Sharing_Demand,randomforest,Percentile,clip,1,9,3651.2107629986126
Bike_Sharing_Demand,randomforest,Percentile,clip,2,0,3353.595197587969
Bike_Sharing_Demand,randomforest,Percentile,clip,2,1,3275.3461231337155
Bike_Sharing_Demand,randomforest,Percentile,clip,2,2,3410.4536921475888
Bike_Sharing_Demand,randomforest,Percentile,clip,2,3,3304.0305088723467
Bike_Sharing_Demand,randomforest,Percentile,clip,2,4,3074.47010905636
Bike_Sharing_Demand,randomforest,Percentile,clip,2,5,3252.9588045794862
Bike_Sharing_Demand,randomforest,Percentile,clip,2,6,3760.873217530832
Bike_Sharing_Demand,randomforest,Percentile,clip,2,7,3479.8370783497508
Bike_Sharing_Demand,randomforest,Percentile,clip,2,8,3569.8979419591337
Bike_Sharing_Demand,randomforest,Percentile,clip,2,9,3253.412718831035
