dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,randomforest,Percentile,remove,0,0,5915.122700737047
Bike_Sharing_Demand,randomforest,Percentile,remove,0,1,4701.299845249672
Bike_Sharing_Demand,randomforest,Percentile,remove,0,2,5383.118568669109
Bike_Sharing_Demand,randomforest,Percentile,remove,0,3,5861.462024657549
Bike_Sharing_Demand,randomforest,Percentile,remove,0,4,5590.485679833633
Bike_Sharing_Demand,randomforest,Percentile,remove,0,5,5395.640462495005
Bike_Sharing_Demand,randomforest,Percentile,remove,0,6,5275.440111408698
Bike_Sharing_Demand,randomforest,Percentile,remove,0,7,5186.140896658148
Bike_Sharing_Demand,randomforest,Percentile,remove,0,8,5715.55421706942
Bike_Sharing_Demand,randomforest,Percentile,remove,0,9,6607.905747979191
Bike_Sharing_Demand,randomforest,Percentile,remove,1,0,6000.125113709593
Bike_Sharing_Demand,randomforest,Percentile,remove,1,1,5335.469949726091
Bike_Sharing_Demand,randomforest,Percentile,remove,1,2,5724.908772061941
Bike_Sharing_Demand,randomforest,Percentile,remove,1,3,5680.258199041492
Bike_Sharing_Demand,randomforest,Percentile,remove,1,4,5222.209369190123
Bike_Sharing_Demand,randomforest,Percentile,remove,1,5,5810.6072869744785
Bike_Sharing_Demand,randomforest,Percentile,remove,1,6,5999.236212651256
Bike_Sharing_Demand,randomforest,Percentile,remove,1,7,4611.24818422749
Bike_Sharing_Demand,randomforest,Percentile,remove,1,8,4851.495957995004
Bike_Sharing_Demand,randomforest,Percentile,remove,1,9,6944.379196813849
Bike_Sharing_Demand,randomforest,Percentile,remove,2,0,4840.375139488644
Bike_Sharing_Demand,randomforest,Percentile,remove,2,1,5540.792231255216
Bike_Sharing_Demand,randomforest,Percentile,remove,2,2,5611.265633104142
Bike_Sharing_Demand,randomforest,Percentile,remove,2,3,6073.593439563973
Bike_Sharing_Demand,randomforest,Percentile,remove,2,4,5168.364282830336
Bike_Sharing_Demand,randomforest,Percentile,remove,2,5,4517.875872584408
Bike_Sharing_Demand,randomforest,Percentile,remove,2,6,6148.837729922787
Bike_Sharing_Demand,randomforest,Percentile,remove,2,7,5638.076908548786
Bike_Sharing_Demand,randomforest,Percentile,remove,2,8,5898.563112771409
Bike_Sharing_Demand,randomforest,Percentile,remove,2,9,6094.785466503223
