dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,randomforest,ZScore,remove,0,0,2761.335301159978
Bike_Sharing_Demand,randomforest,ZScore,remove,0,1,1878.615305191175
Bike_Sharing_Demand,randomforest,ZScore,remove,0,2,1909.5166602752536
Bike_Sharing_Demand,randomforest,ZScore,remove,0,3,1761.2656484737208
Bike_Sharing_Demand,randomforest,ZScore,remove,0,4,1996.1889650567045
Bike_Sharing_Demand,randomforest,ZScore,remove,0,5,2038.7786950426907
Bike_Sharing_Demand,randomforest,ZScore,remove,0,6,2326.615706696118
Bike_Sharing_Demand,randomforest,ZScore,remove,0,7,2325.680291263864
Bike_Sharing_Demand,randomforest,ZScore,remove,0,8,2038.345677524777
Bike_Sharing_Demand,randomforest,ZScore,remove,0,9,2709.238210057554
Bike_Sharing_Demand,randomforest,ZScore,remove,1,0,2351.0193021983127
Bike_Sharing_Demand,randomforest,ZScore,remove,1,1,2247.084057270141
Bike_Sharing_Demand,randomforest,ZScore,remove,1,2,2546.7398255204453
Bike_Sharing_Demand,randomforest,ZScore,remove,1,3,2684.886102471048
Bike_Sharing_Demand,randomforest,ZScore,remove,1,4,2221.082793284747
Bike_Sharing_Demand,randomforest,ZScore,remove,1,5,1685.9312430858313
Bike_Sharing_Demand,randomforest,ZScore,remove,1,6,2560.198907224221
Bike_Sharing_Demand,randomforest,ZScore,remove,1,7,1827.5997341728616
Bike_Sharing_Demand,randomforest,ZScore,remove,1,8,1760.8368809253598
Bike_Sharing_Demand,randomforest,ZScore,remove,1,9,2100.995913812675
Bike_Sharing_Demand,randomforest,ZScore,remove,2,0,1989.6221674790356
Bike_Sharing_Demand,randomforest,ZScore,remove,2,1,2272.4352861038565
Bike_Sharing_Demand,randomforest,ZScore,remove,2,2,2440.430463804906
Bike_Sharing_Demand,randomforest,ZScore,remove,2,3,1808.1058353941846
Bike_Sharing_Demand,randomforest,ZScore,remove,2,4,2197.0665765566796
Bike_Sharing_Demand,randomforest,ZScore,remove,2,5,2260.0833557491505
Bike_Sharing_Demand,randomforest,ZScore,remove,2,6,2527.5572595980216
Bike_Sharing_Demand,randomforest,ZScore,remove,2,7,1978.3267053732013
Bike_Sharing_Demand,randomforest,ZScore,remove,2,8,2320.0406475334235
Bike_Sharing_Demand,randomforest,ZScore,remove,2,9,1971.9650156804719
