dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,0,2539.436767578125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,1,1588.483642578125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,2,1970.92822265625
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,3,1789.9229736328125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,4,2076.667236328125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,5,2034.00927734375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,6,2096.835693359375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,7,2155.68701171875
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,8,1999.1685791015625
Bike_Sharing_Demand,xgboost,Autoencoder,remove,0,9,2594.34521484375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,0,2005.6524658203125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,1,2066.541259765625
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,2,2415.531494140625
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,3,2002.4837646484375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,4,2246.20361328125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,5,1851.1883544921875
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,6,2419.987060546875
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,7,1698.3060302734375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,8,1810.4390869140625
Bike_Sharing_Demand,xgboost,Autoencoder,remove,1,9,2171.786376953125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,0,1947.9569091796875
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,1,2058.523193359375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,2,2103.474365234375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,3,1900.292724609375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,4,2130.351318359375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,5,2190.89892578125
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,6,2248.297119140625
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,7,1845.3291015625
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,8,2300.66552734375
Bike_Sharing_Demand,xgboost,Autoencoder,remove,2,9,1800.424072265625
