dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,0,2649.603271484375
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,1,1824.98681640625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,2,2034.6292724609375
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,3,2058.17578125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,4,2281.89208984375
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,5,2114.297607421875
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,6,2436.765380859375
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,7,2255.946533203125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,8,1992.3302001953125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,0,9,2359.517822265625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,0,2422.093994140625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,1,2190.0400390625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,2,2496.322998046875
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,3,2378.890625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,4,2283.225830078125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,5,1882.535400390625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,6,2478.8154296875
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,7,1867.1925048828125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,8,2062.974365234375
Bike_Sharing_Demand,xgboost,IsolationForest,remove,1,9,2293.97509765625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,0,2152.822509765625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,1,2384.59619140625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,2,2382.55810546875
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,3,2177.560791015625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,4,2313.2001953125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,5,2685.66015625
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,6,2214.274658203125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,7,1851.8529052734375
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,8,2413.997314453125
Bike_Sharing_Demand,xgboost,IsolationForest,remove,2,9,2208.214599609375
