dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,xgboost,LOF,remove,0,0,2661.158203125
Bike_Sharing_Demand,xgboost,LOF,remove,0,1,1556.889892578125
Bike_Sharing_Demand,xgboost,LOF,remove,0,2,1931.0234375
Bike_Sharing_Demand,xgboost,LOF,remove,0,3,1776.7967529296875
Bike_Sharing_Demand,xgboost,LOF,remove,0,4,2137.104248046875
Bike_Sharing_Demand,xgboost,LOF,remove,0,5,2271.1748046875
Bike_Sharing_Demand,xgboost,LOF,remove,0,6,2083.2998046875
Bike_Sharing_Demand,xgboost,LOF,remove,0,7,2191.12060546875
Bike_Sharing_Demand,xgboost,LOF,remove,0,8,1974.204345703125
Bike_Sharing_Demand,xgboost,LOF,remove,0,9,2407.416015625
Bike_Sharing_Demand,xgboost,LOF,remove,1,0,2045.3751220703125
Bike_Sharing_Demand,xgboost,LOF,remove,1,1,1930.33984375
Bike_Sharing_Demand,xgboost,LOF,remove,1,2,2380.993896484375
Bike_Sharing_Demand,xgboost,LOF,remove,1,3,2148.104248046875
Bike_Sharing_Demand,xgboost,LOF,remove,1,4,2139.57177734375
Bike_Sharing_Demand,xgboost,LOF,remove,1,5,1808.06640625
Bike_Sharing_Demand,xgboost,LOF,remove,1,6,2409.552490234375
Bike_Sharing_Demand,xgboost,LOF,remove,1,7,1769.080078125
Bike_Sharing_Demand,xgboost,LOF,remove,1,8,1864.1912841796875
Bike_Sharing_Demand,xgboost,LOF,remove,1,9,2181.21142578125
Bike_Sharing_Demand,xgboost,LOF,remove,2,0,2001.8831787109375
Bike_Sharing_Demand,xgboost,LOF,remove,2,1,2127.426513671875
Bike_Sharing_Demand,xgboost,LOF,remove,2,2,2090.65673828125
Bike_Sharing_Demand,xgboost,LOF,remove,2,3,1939.2855224609375
Bike_Sharing_Demand,xgboost,LOF,remove,2,4,2271.33056640625
Bike_Sharing_Demand,xgboost,LOF,remove,2,5,2273.898193359375
Bike_Sharing_Demand,xgboost,LOF,remove,2,6,2330.1689453125
Bike_Sharing_Demand,xgboost,LOF,remove,2,7,1767.0130615234375
Bike_Sharing_Demand,xgboost,LOF,remove,2,8,2068.240966796875
Bike_Sharing_Demand,xgboost,LOF,remove,2,9,1802.46923828125
