dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,xgboost,Percentile,clip,0,0,4320.2216796875
Bike_Sharing_Demand,xgboost,Percentile,clip,0,1,2995.267333984375
Bike_Sharing_Demand,xgboost,Percentile,clip,0,2,3394.6845703125
Bike_Sharing_Demand,xgboost,Percentile,clip,0,3,3285.860595703125
Bike_Sharing_Demand,xgboost,Percentile,clip,0,4,3492.55712890625
Bike_Sharing_Demand,xgboost,Percentile,clip,0,5,3482.54638671875
Bike_Sharing_Demand,xgboost,Percentile,clip,0,6,3392.215576171875
Bike_Sharing_Demand,xgboost,Percentile,clip,0,7,3229.84765625
Bike_Sharing_Demand,xgboost,Percentile,clip,0,8,3197.900634765625
Bike_Sharing_Demand,xgboost,Percentile,clip,0,9,3919.8916015625
Bike_Sharing_Demand,xgboost,Percentile,clip,1,0,3232.87109375
Bike_Sharing_Demand,xgboost,Percentile,clip,1,1,3393.46533203125
Bike_Sharing_Demand,xgboost,Percentile,clip,1,2,3489.343505859375
Bike_Sharing_Demand,xgboost,Percentile,clip,1,3,3485.885009765625
Bike_Sharing_Demand,xgboost,Percentile,clip,1,4,3848.73779296875
Bike_Sharing_Demand,xgboost,Percentile,clip,1,5,3871.568359375
Bike_Sharing_Demand,xgboost,Percentile,clip,1,6,3092.38134765625
Bike_Sharing_Demand,xgboost,Percentile,clip,1,7,3104.150146484375
Bike_Sharing_Demand,xgboost,Percentile,clip,1,8,3112.569091796875
Bike_Sharing_Demand,xgboost,Percentile,clip,1,9,3742.4482421875
Bike_Sharing_Demand,xgboost,Percentile,clip,2,0,3828.374755859375
Bike_Sharing_Demand,xgboost,Percentile,clip,2,1,3484.321533203125
Bike_Sharing_Demand,xgboost,Percentile,clip,2,2,3747.422607421875
Bike_Sharing_Demand,xgboost,Percentile,clip,2,3,3298.686767578125
Bike_Sharing_Demand,xgboost,Percentile,clip,2,4,3351.510009765625
Bike_Sharing_Demand,xgboost,Percentile,clip,2,5,3312.2890625
Bike_Sharing_Demand,xgboost,Percentile,clip,2,6,3740.292724609375
Bike_Sharing_Demand,xgboost,Percentile,clip,2,7,3408.116455078125
Bike_Sharing_Demand,xgboost,Percentile,clip,2,8,3648.83447265625
Bike_Sharing_Demand,xgboost,Percentile,clip,2,9,3425.81494140625
