dataset,model,detector,treatment,run,fold,score
Bike_Sharing_Demand,xgboost,ZScore,remove,0,0,2638.27978515625
Bike_Sharing_Demand,xgboost,ZScore,remove,0,1,1751.929443359375
Bike_Sharing_Demand,xgboost,ZScore,remove,0,2,1841.5615234375
Bike_Sharing_Demand,xgboost,ZScore,remove,0,3,1672.49365234375
Bike_Sharing_Demand,xgboost,ZScore,remove,0,4,2067.43115234375
Bike_Sharing_Demand,xgboost,ZScore,remove,0,5,2165.770263671875
Bike_Sharing_Demand,xgboost,ZScore,remove,0,6,2109.68603515625
Bike_Sharing_Demand,xgboost,ZScore,remove,0,7,2427.9189453125
Bike_Sharing_Demand,xgboost,ZScore,remove,0,8,2006.3223876953125
Bike_Sharing_Demand,xgboost,ZScore,remove,0,9,2344.306396484375
Bike_Sharing_Demand,xgboost,ZScore,remove,1,0,2204.123779296875
Bike_Sharing_Demand,xgboost,ZScore,remove,1,1,2220.10107421875
Bike_Sharing_Demand,xgboost,ZScore,remove,1,2,2521.394775390625
Bike_Sharing_Demand,xgboost,ZScore,remove,1,3,2203.26318359375
Bike_Sharing_Demand,xgboost,ZScore,remove,1,4,2078.1357421875
Bike_Sharing_Demand,xgboost,ZScore,remove,1,5,1750.5604248046875
Bike_Sharing_Demand,xgboost,ZScore,remove,1,6,2362.552978515625
Bike_Sharing_Demand,xgboost,ZScore,remove,1,7,1890.4844970703125
Bike_Sharing_Demand,xgboost,ZScore,remove,1,8,1931.595947265625
Bike_Sharing_Demand,xgboost,ZScore,remove,1,9,2087.12451171875
Bike_Sharing_Demand,xgboost,ZScore,remove,2,0,2021.727294921875
Bike_Sharing_Demand,xgboost,ZScore,remove,2,1,2123.15234375
Bike_Sharing_Demand,xgboost,ZScore,remove,2,2,2141.06005859375
Bike_Sharing_Demand,xgboost,ZScore,remove,2,3,1811.1978759765625
Bike_Sharing_Demand,xgboost,ZScore,remove,2,4,2126.91943359375
Bike_Sharing_Demand,xgboost,ZScore,remove,2,5,2205.717529296875
Bike_Sharing_Demand,xgboost,ZScore,remove,2,6,2192.953125
Bike_Sharing_Demand,xgboost,ZScore,remove,2,7,1847.76708984375
Bike_Sharing_Demand,xgboost,ZScore,remove,2,8,2165.399169921875
Bike_Sharing_Demand,xgboost,ZScore,remove,2,9,2000.14453125
