dataset,model,detector,treatment,run,fold,score
abalone,mlp,LOF,remove,0,0,36.92094285662236
abalone,mlp,LOF,remove,0,1,35.87986883889076
abalone,mlp,LOF,remove,0,2,45.560259295352054
abalone,mlp,LOF,remove,0,3,41.242066333654556
abalone,mlp,LOF,remove,0,4,29.91452070480975
abalone,mlp,LOF,remove,0,5,30.17257476865285
abalone,mlp,LOF,remove,0,6,34.92094358546383
abalone,mlp,LOF,remove,0,7,35.090648831147185
abalone,mlp,LOF,remove,0,8,47.23798133103208
abalone,mlp,LOF,remove,0,9,41.62919708917684
abalone,mlp,LOF,remove,1,0,31.052960280482566
abalone,mlp,LOF,remove,1,1,33.00401377902212
abalone,mlp,LOF,remove,1,2,35.68021872262025
abalone,mlp,LOF,remove,1,3,35.84545888851249
abalone,mlp,LOF,remove,1,4,31.68763872076614
abalone,mlp,LOF,remove,1,5,31.58224098164716
abalone,mlp,LOF,remove,1,6,35.47547275960032
abalone,mlp,LOF,remove,1,7,38.153310354793526
abalone,mlp,LOF,remove,1,8,35.185271108038386
abalone,mlp,LOF,remove,1,9,33.514214881777576
abalone,mlp,LOF,remove,2,0,30.581367558493156
abalone,mlp,LOF,remove,2,1,31.359529381900384
abalone,mlp,LOF,remove,2,2,41.42406694737854
abalone,mlp,LOF,remove,2,3,36.74408682677376
abalone,mlp,LOF,remove,2,4,38.53345181526934
abalone,mlp,LOF,remove,2,5,42.7952423964883
abalone,mlp,LOF,remove,2,6,34.3580136859062
abalone,mlp,LOF,remove,2,7,37.6705000452905
abalone,mlp,LOF,remove,2,8,32.787218663401966
abalone,mlp,LOF,remove,2,9,32.16214211267196
