dataset,model,detector,treatment,run,fold,score
abalone,mlp,None,remove,0,0,25.75657753087411
abalone,mlp,None,remove,0,1,28.302588994381367
abalone,mlp,None,remove,0,2,26.042145806646598
abalone,mlp,None,remove,0,3,26.819977811606627
abalone,mlp,None,remove,0,4,24.468738742141642
abalone,mlp,None,remove,0,5,21.717466628604555
abalone,mlp,None,remove,0,6,26.281809232057306
abalone,mlp,None,remove,0,7,30.48278928334197
abalone,mlp,None,remove,0,8,37.74023804373101
abalone,mlp,None,remove,0,9,31.244596456914856
abalone,mlp,None,remove,1,0,25.705964918389952
abalone,mlp,None,remove,1,1,23.52536621126254
abalone,mlp,None,remove,1,2,29.183764309005543
abalone,mlp,None,remove,1,3,24.449000618619596
abalone,mlp,None,remove,1,4,27.29498408919331
abalone,mlp,None,remove,1,5,23.073625606464148
abalone,mlp,None,remove,1,6,33.23127486747689
abalone,mlp,None,remove,1,7,26.840835938955625
abalone,mlp,None,remove,1,8,24.90122415912557
abalone,mlp,None,remove,1,9,21.162357903183274
abalone,mlp,None,remove,2,0,25.657912939540996
abalone,mlp,None,remove,2,1,23.81952127421905
abalone,mlp,None,remove,2,2,30.70822153460007
abalone,mlp,None,remove,2,3,32.714367501064345
abalone,mlp,None,remove,2,4,34.59569567323535
abalone,mlp,None,remove,2,5,33.2406308209581
abalone,mlp,None,remove,2,6,23.705876146444606
abalone,mlp,None,remove,2,7,28.675228146407083
abalone,mlp,None,remove,2,8,25.57257668736489
abalone,mlp,None,remove,2,9,25.150980640943743
