dataset,model,detector,treatment,run,fold,score
abalone,mlp,Percentile,clip,0,0,22.7872503063721
abalone,mlp,Percentile,clip,0,1,20.08046520999047
abalone,mlp,Percentile,clip,0,2,18.354587820055812
abalone,mlp,Percentile,clip,0,3,20.28280355327974
abalone,mlp,Percentile,clip,0,4,21.375382607922756
abalone,mlp,Percentile,clip,0,5,18.26720485817986
abalone,mlp,Percentile,clip,0,6,23.908269779351595
abalone,mlp,Percentile,clip,0,7,26.79565682211761
abalone,mlp,Percentile,clip,0,8,35.03866089194786
abalone,mlp,Percentile,clip,0,9,26.253101748294913
abalone,mlp,Percentile,clip,1,0,23.17675302883489
abalone,mlp,Percentile,clip,1,1,20.616418620460585
abalone,mlp,Percentile,clip,1,2,26.17459943356843
abalone,mlp,Percentile,clip,1,3,27.23385634343031
abalone,mlp,Percentile,clip,1,4,23.817222438713014
abalone,mlp,Percentile,clip,1,5,20.803788146453364
abalone,mlp,Percentile,clip,1,6,28.025268793898334
abalone,mlp,Percentile,clip,1,7,23.50065956747725
abalone,mlp,Percentile,clip,1,8,21.822138519591956
abalone,mlp,Percentile,clip,1,9,18.28129195010057
abalone,mlp,Percentile,clip,2,0,17.525450311995968
abalone,mlp,Percentile,clip,2,1,20.984073632675884
abalone,mlp,Percentile,clip,2,2,30.33132349631465
abalone,mlp,Percentile,clip,2,3,29.536330134235676
abalone,mlp,Percentile,clip,2,4,27.655137884550893
abalone,mlp,Percentile,clip,2,5,30.149956366542643
abalone,mlp,Percentile,clip,2,6,20.348099864155177
abalone,mlp,Percentile,clip,2,7,26.45750043578662
abalone,mlp,Percentile,clip,2,8,21.455245366468386
abalone,mlp,Percentile,clip,2,9,15.704359870384126
