dataset,model,detector,treatment,run,fold,score
abalone,mlp,Percentile,remove,0,0,32.0394713621336
abalone,mlp,Percentile,remove,0,1,31.216180690108843
abalone,mlp,Percentile,remove,0,2,35.318098255904296
abalone,mlp,Percentile,remove,0,3,16.803178153373597
abalone,mlp,Percentile,remove,0,4,30.60405612631038
abalone,mlp,Percentile,remove,0,5,20.180337706218467
abalone,mlp,Percentile,remove,0,6,29.340818339103777
abalone,mlp,Percentile,remove,0,7,20.001854399151
abalone,mlp,Percentile,remove,0,8,38.82073752727677
abalone,mlp,Percentile,remove,0,9,21.711742221719902
abalone,mlp,Percentile,remove,1,0,31.94178938335494
abalone,mlp,Percentile,remove,1,1,31.609909334036185
abalone,mlp,Percentile,remove,1,2,28.1079700095014
abalone,mlp,Percentile,remove,1,3,18.34421116216223
abalone,mlp,Percentile,remove,1,4,32.180110669237706
abalone,mlp,Percentile,remove,1,5,27.546676048733413
abalone,mlp,Percentile,remove,1,6,34.072699336830595
abalone,mlp,Percentile,remove,1,7,38.57092517897868
abalone,mlp,Percentile,remove,1,8,17.420007793152553
abalone,mlp,Percentile,remove,1,9,35.04251467085483
abalone,mlp,Percentile,remove,2,0,33.226275329979934
abalone,mlp,Percentile,remove,2,1,14.475460408410468
abalone,mlp,Percentile,remove,2,2,26.933751600107318
abalone,mlp,Percentile,remove,2,3,37.914336953168515
abalone,mlp,Percentile,remove,2,4,37.30000183004444
abalone,mlp,Percentile,remove,2,5,43.40393878918813
abalone,mlp,Percentile,remove,2,6,30.399296257933724
abalone,mlp,Percentile,remove,2,7,21.258879993545776
abalone,mlp,Percentile,remove,2,8,15.716178804800597
abalone,mlp,Percentile,remove,2,9,32.79163136057697
