dataset,model,detector,treatment,run,fold,score
abalone,mlp,ZScore,clip,0,0,25.811148512344666
abalone,mlp,ZScore,clip,0,1,28.413543858269946
abalone,mlp,ZScore,clip,0,2,25.988128310503726
abalone,mlp,ZScore,clip,0,3,26.83371997968171
abalone,mlp,ZScore,clip,0,4,24.544502121580653
abalone,mlp,ZScore,clip,0,5,21.81286491279349
abalone,mlp,ZScore,clip,0,6,28.492182085472823
abalone,mlp,ZScore,clip,0,7,30.607496669955047
abalone,mlp,ZScore,clip,0,8,37.44451454660024
abalone,mlp,ZScore,clip,0,9,31.357978775827434
abalone,mlp,ZScore,clip,1,0,25.8150933293365
abalone,mlp,ZScore,clip,1,1,23.530597119074823
abalone,mlp,ZScore,clip,1,2,28.692488756398802
abalone,mlp,ZScore,clip,1,3,24.51380584711993
abalone,mlp,ZScore,clip,1,4,27.150968056663093
abalone,mlp,ZScore,clip,1,5,22.846364698629316
abalone,mlp,ZScore,clip,1,6,32.14593759264753
abalone,mlp,ZScore,clip,1,7,26.89531634460629
abalone,mlp,ZScore,clip,1,8,24.845813714777282
abalone,mlp,ZScore,clip,1,9,21.175030339092938
abalone,mlp,ZScore,clip,2,0,25.82753144597151
abalone,mlp,ZScore,clip,2,1,23.470985316637048
abalone,mlp,ZScore,clip,2,2,30.648799137473436
abalone,mlp,ZScore,clip,2,3,32.88810734231337
abalone,mlp,ZScore,clip,2,4,34.73901369013014
abalone,mlp,ZScore,clip,2,5,33.08670661695537
abalone,mlp,ZScore,clip,2,6,23.797933918286414
abalone,mlp,ZScore,clip,2,7,29.02269997765688
abalone,mlp,ZScore,clip,2,8,25.5995959260227
abalone,mlp,ZScore,clip,2,9,24.522198640535883
