dataset,model,detector,treatment,run,fold,score
abalone,mlp_deep,Autoencoder,remove,0,0,23.85601157648073
abalone,mlp_deep,Autoencoder,remove,0,1,28.773209186654416
abalone,mlp_deep,Autoencoder,remove,0,2,26.390902878803026
abalone,mlp_deep,Autoencoder,remove,0,3,22.990403028284206
abalone,mlp_deep,Autoencoder,remove,0,4,19.51028101917418
abalone,mlp_deep,Autoencoder,remove,0,5,19.985099845719173
abalone,mlp_deep,Autoencoder,remove,0,6,20.397463915836425
abalone,mlp_deep,Autoencoder,remove,0,7,25.248206581065794
abalone,mlp_deep,Autoencoder,remove,0,8,25.69494371588769
abalone,mlp_deep,Autoencoder,remove,0,9,29.584654625120763
abalone,mlp_deep,Autoencoder,remove,1,0,30.287732128153422
abalone,mlp_deep,Autoencoder,remove,1,1,26.183439066657957
abalone,mlp_deep,Autoencoder,remove,1,2,20.740105147494653
abalone,mlp_deep,Autoencoder,remove,1,3,21.929577263162873
abalone,mlp_deep,Autoencoder,remove,1,4,26.604716934726763
abalone,mlp_deep,Autoencoder,remove,1,5,16.397569732313993
abalone,mlp_deep,Autoencoder,remove,1,6,24.330002984332456
abalone,mlp_deep,Autoencoder,remove,1,7,27.339910176061675
abalone,mlp_deep,Autoencoder,remove,1,8,25.744601242934234
abalone,mlp_deep,Autoencoder,remove,1,9,16.32676273485555
abalone,mlp_deep,Autoencoder,remove,2,0,34.85415457441546
abalone,mlp_deep,Autoencoder,remove,2,1,18.796380270441606
abalone,mlp_deep,Autoencoder,remove,2,2,28.128048790147993
abalone,mlp_deep,Autoencoder,remove,2,3,31.272742431544387
abalone,mlp_deep,Autoencoder,remove,2,4,20.984311006525854
abalone,mlp_deep,Autoencoder,remove,2,5,22.686087036340474
abalone,mlp_deep,Autoencoder,remove,2,6,21.482627952092724
abalone,mlp_deep,Autoencoder,remove,2,7,23.12740010694964
abalone,mlp_deep,Autoencoder,remove,2,8,17.553337087913967
abalone,mlp_deep,Autoencoder,remove,2,9,20.33451205896468
