dataset,model,detector,treatment,run,fold,score
abalone,mlp_deep,LOF,remove,0,0,22.311966712730932
abalone,mlp_deep,LOF,remove,0,1,35.92861328669824
abalone,mlp_deep,LOF,remove,0,2,34.969079686790934
abalone,mlp_deep,LOF,remove,0,3,24.56849051460905
abalone,mlp_deep,LOF,remove,0,4,20.560439049475576
abalone,mlp_deep,LOF,remove,0,5,28.43971597925536
abalone,mlp_deep,LOF,remove,0,6,18.571480762654296
abalone,mlp_deep,LOF,remove,0,7,27.97458661619531
abalone,mlp_deep,LOF,remove,0,8,23.723326088733
abalone,mlp_deep,LOF,remove,0,9,26.568217498837043
abalone,mlp_deep,LOF,remove,1,0,20.786384234804334
abalone,mlp_deep,LOF,remove,1,1,23.768697775992063
abalone,mlp_deep,LOF,remove,1,2,24.182752102885978
abalone,mlp_deep,LOF,remove,1,3,37.03173180342923
abalone,mlp_deep,LOF,remove,1,4,28.825107353200483
abalone,mlp_deep,LOF,remove,1,5,15.179198149789432
abalone,mlp_deep,LOF,remove,1,6,25.633742946161153
abalone,mlp_deep,LOF,remove,1,7,30.163957540156048
abalone,mlp_deep,LOF,remove,1,8,22.578001967160176
abalone,mlp_deep,LOF,remove,1,9,15.8861693383702
abalone,mlp_deep,LOF,remove,2,0,23.785006791909
abalone,mlp_deep,LOF,remove,2,1,13.93974502715586
abalone,mlp_deep,LOF,remove,2,2,25.29519157349212
abalone,mlp_deep,LOF,remove,2,3,26.31785473167086
abalone,mlp_deep,LOF,remove,2,4,23.292650129456575
abalone,mlp_deep,LOF,remove,2,5,27.54759197541498
abalone,mlp_deep,LOF,remove,2,6,30.410321264548518
abalone,mlp_deep,LOF,remove,2,7,20.261085832556482
abalone,mlp_deep,LOF,remove,2,8,21.58586810635631
abalone,mlp_deep,LOF,remove,2,9,21.33367141567916
