dataset,model,detector,treatment,run,fold,score
abalone,mlp_deep,Percentile,clip,0,0,25.192253638612222
abalone,mlp_deep,Percentile,clip,0,1,38.05878551432441
abalone,mlp_deep,Percentile,clip,0,2,31.125883539307488
abalone,mlp_deep,Percentile,clip,0,3,17.93615178249954
abalone,mlp_deep,Percentile,clip,0,4,21.357439122664896
abalone,mlp_deep,Percentile,clip,0,5,12.801739959728053
abalone,mlp_deep,Percentile,clip,0,6,24.000305758978723
abalone,mlp_deep,Percentile,clip,0,7,31.579094106860502
abalone,mlp_deep,Percentile,clip,0,8,21.131836487129046
abalone,mlp_deep,Percentile,clip,0,9,26.79978397772272
abalone,mlp_deep,Percentile,clip,1,0,20.369296811513465
abalone,mlp_deep,Percentile,clip,1,1,21.180528177264875
abalone,mlp_deep,Percentile,clip,1,2,20.78500471718943
abalone,mlp_deep,Percentile,clip,1,3,21.971199959332377
abalone,mlp_deep,Percentile,clip,1,4,21.80695219367734
abalone,mlp_deep,Percentile,clip,1,5,14.193653426923525
abalone,mlp_deep,Percentile,clip,1,6,24.620656605133707
abalone,mlp_deep,Percentile,clip,1,7,30.898805766076208
abalone,mlp_deep,Percentile,clip,1,8,23.599699219110267
abalone,mlp_deep,Percentile,clip,1,9,13.845026983664829
abalone,mlp_deep,Percentile,clip,2,0,16.475270234403638
abalone,mlp_deep,Percentile,clip,2,1,25.853773988526434
abalone,mlp_deep,Percentile,clip,2,2,33.21243935626382
abalone,mlp_deep,Percentile,clip,2,3,22.32741002118753
abalone,mlp_deep,Percentile,clip,2,4,20.119435886077213
abalone,mlp_deep,Percentile,clip,2,5,24.175159455904
abalone,mlp_deep,Percentile,clip,2,6,19.264883625294438
abalone,mlp_deep,Percentile,clip,2,7,26.267763563234237
abalone,mlp_deep,Percentile,clip,2,8,20.025775750205533
abalone,mlp_deep,Percentile,clip,2,9,24.477051940557267
