dataset,model,detector,treatment,run,fold,score
abalone,mlp_deep,ZScore,clip,0,0,20.7147093505814
abalone,mlp_deep,ZScore,clip,0,1,25.968911528424655
abalone,mlp_deep,ZScore,clip,0,2,27.673420486726492
abalone,mlp_deep,ZScore,clip,0,3,23.14268973381216
abalone,mlp_deep,ZScore,clip,0,4,21.79171037400514
abalone,mlp_deep,ZScore,clip,0,5,14.303903617637753
abalone,mlp_deep,ZScore,clip,0,6,23.819737255788777
abalone,mlp_deep,ZScore,clip,0,7,30.286186563943154
abalone,mlp_deep,ZScore,clip,0,8,22.444549016312234
abalone,mlp_deep,ZScore,clip,0,9,31.061036802671953
abalone,mlp_deep,ZScore,clip,1,0,21.294930940435094
abalone,mlp_deep,ZScore,clip,1,1,22.727438128815482
abalone,mlp_deep,ZScore,clip,1,2,21.488826679087005
abalone,mlp_deep,ZScore,clip,1,3,22.03068559950107
abalone,mlp_deep,ZScore,clip,1,4,22.10341355144281
abalone,mlp_deep,ZScore,clip,1,5,17.012610863231128
abalone,mlp_deep,ZScore,clip,1,6,31.910304150844997
abalone,mlp_deep,ZScore,clip,1,7,33.72963897533125
abalone,mlp_deep,ZScore,clip,1,8,28.59827593221072
abalone,mlp_deep,ZScore,clip,1,9,15.72435484828787
abalone,mlp_deep,ZScore,clip,2,0,28.445963949031256
abalone,mlp_deep,ZScore,clip,2,1,22.521092799298764
abalone,mlp_deep,ZScore,clip,2,2,33.632516607513196
abalone,mlp_deep,ZScore,clip,2,3,24.619969597308458
abalone,mlp_deep,ZScore,clip,2,4,17.988158918879286
abalone,mlp_deep,ZScore,clip,2,5,26.9259313016438
abalone,mlp_deep,ZScore,clip,2,6,21.814532932869156
abalone,mlp_deep,ZScore,clip,2,7,33.91300338462671
abalone,mlp_deep,ZScore,clip,2,8,23.88113646883037
abalone,mlp_deep,ZScore,clip,2,9,22.602206117718268
