dataset,model,detector,treatment,run,fold,score
abalone,mlp_deep,ZScore,remove,0,0,40.89053581559794
abalone,mlp_deep,ZScore,remove,0,1,50.24406958360245
abalone,mlp_deep,ZScore,remove,0,2,28.442212049698366
abalone,mlp_deep,ZScore,remove,0,3,23.47908471695699
abalone,mlp_deep,ZScore,remove,0,4,24.14510478730277
abalone,mlp_deep,ZScore,remove,0,5,18.61015480274073
abalone,mlp_deep,ZScore,remove,0,6,18.562256794373234
abalone,mlp_deep,ZScore,remove,0,7,24.774363087622927
abalone,mlp_deep,ZScore,remove,0,8,22.278138120499516
abalone,mlp_deep,ZScore,remove,0,9,31.96789407969912
abalone,mlp_deep,ZScore,remove,1,0,18.826544291771445
abalone,mlp_deep,ZScore,remove,1,1,23.24892458518109
abalone,mlp_deep,ZScore,remove,1,2,19.691353129209322
abalone,mlp_deep,ZScore,remove,1,3,21.44831361003941
abalone,mlp_deep,ZScore,remove,1,4,24.405394897845632
abalone,mlp_deep,ZScore,remove,1,5,17.714928308267552
abalone,mlp_deep,ZScore,remove,1,6,21.59238569589913
abalone,mlp_deep,ZScore,remove,1,7,25.99428604091407
abalone,mlp_deep,ZScore,remove,1,8,21.502892835447337
abalone,mlp_deep,ZScore,remove,1,9,22.309309761744558
abalone,mlp_deep,ZScore,remove,2,0,28.13033422761207
abalone,mlp_deep,ZScore,remove,2,1,19.412337037467637
abalone,mlp_deep,ZScore,remove,2,2,33.26973867618534
abalone,mlp_deep,ZScore,remove,2,3,25.561371688027442
abalone,mlp_deep,ZScore,remove,2,4,19.577989676365593
abalone,mlp_deep,ZScore,remove,2,5,24.388134256833904
abalone,mlp_deep,ZScore,remove,2,6,20.867943705207885
abalone,mlp_deep,ZScore,remove,2,7,22.32930767453556
abalone,mlp_deep,ZScore,remove,2,8,19.728839424842832
abalone,mlp_deep,ZScore,remove,2,9,20.3588661623204
