dataset,model,detector,treatment,run,fold,score
abalone,randomforest,Autoencoder,remove,0,0,10.30402276119403
abalone,randomforest,Autoencoder,remove,0,1,9.73262089552239
abalone,randomforest,Autoencoder,remove,0,2,8.798564419475655
abalone,randomforest,Autoencoder,remove,0,3,9.124751310861422
abalone,randomforest,Autoencoder,remove,0,4,7.68436554307116
abalone,randomforest,Autoencoder,remove,0,5,7.387111985018726
abalone,randomforest,Autoencoder,remove,0,6,11.215234082397004
abalone,randomforest,Autoencoder,remove,0,7,11.400891760299624
abalone,randomforest,Autoencoder,remove,0,8,10.916904119850189
abalone,randomforest,Autoencoder,remove,0,9,10.40054606741573
abalone,randomforest,Autoencoder,remove,1,0,9.769317537313432
abalone,randomforest,Autoencoder,remove,1,1,10.255960447761195
abalone,randomforest,Autoencoder,remove,1,2,7.6651910112359545
abalone,randomforest,Autoencoder,remove,1,3,8.404543445692884
abalone,randomforest,Autoencoder,remove,1,4,11.10258202247191
abalone,randomforest,Autoencoder,remove,1,5,8.697938576779027
abalone,randomforest,Autoencoder,remove,1,6,10.941578277153559
abalone,randomforest,Autoencoder,remove,1,7,10.46698988764045
abalone,randomforest,Autoencoder,remove,1,8,11.075003745318353
abalone,randomforest,Autoencoder,remove,1,9,9.47563445692884
abalone,randomforest,Autoencoder,remove,2,0,7.594287313432837
abalone,randomforest,Autoencoder,remove,2,1,7.678507835820895
abalone,randomforest,Autoencoder,remove,2,2,12.918577528089887
abalone,randomforest,Autoencoder,remove,2,3,11.470630337078651
abalone,randomforest,Autoencoder,remove,2,4,9.292547940074906
abalone,randomforest,Autoencoder,remove,2,5,9.294462921348316
abalone,randomforest,Autoencoder,remove,2,6,8.809772284644193
abalone,randomforest,Autoencoder,remove,2,7,8.708514981273408
abalone,randomforest,Autoencoder,remove,2,8,9.420855056179775
abalone,randomforest,Autoencoder,remove,2,9,8.6514670411985
