dataset,model,detector,treatment,run,fold,score
abalone,randomforest,Percentile,clip,0,0,9.59965702515577
abalone,randomforest,Percentile,clip,0,1,8.945690425278245
abalone,randomforest,Percentile,clip,0,2,7.703200827052125
abalone,randomforest,Percentile,clip,0,3,9.721108629074724
abalone,randomforest,Percentile,clip,0,4,7.141242606622901
abalone,randomforest,Percentile,clip,0,5,7.215180176551136
abalone,randomforest,Percentile,clip,0,6,9.071751357216055
abalone,randomforest,Percentile,clip,0,7,9.882918223710638
abalone,randomforest,Percentile,clip,0,8,9.578307760769466
abalone,randomforest,Percentile,clip,0,9,9.131549611140557
abalone,randomforest,Percentile,clip,1,0,9.463095164476641
abalone,randomforest,Percentile,clip,1,1,9.801076252380408
abalone,randomforest,Percentile,clip,1,2,6.798986744523092
abalone,randomforest,Percentile,clip,1,3,7.694569720763218
abalone,randomforest,Percentile,clip,1,4,10.344067907463604
abalone,randomforest,Percentile,clip,1,5,7.1728876949671445
abalone,randomforest,Percentile,clip,1,6,9.690938422816027
abalone,randomforest,Percentile,clip,1,7,9.225089019374956
abalone,randomforest,Percentile,clip,1,8,9.950269748522869
abalone,randomforest,Percentile,clip,1,9,8.115503732256425
abalone,randomforest,Percentile,clip,2,0,6.650007527345421
abalone,randomforest,Percentile,clip,2,1,7.732849321074513
abalone,randomforest,Percentile,clip,2,2,10.857506896117481
abalone,randomforest,Percentile,clip,2,3,9.467688601067657
abalone,randomforest,Percentile,clip,2,4,8.741758331022163
abalone,randomforest,Percentile,clip,2,5,8.901578515778995
abalone,randomforest,Percentile,clip,2,6,7.543923370835029
abalone,randomforest,Percentile,clip,2,7,8.552189158808156
abalone,randomforest,Percentile,clip,2,8,9.28774341836394
abalone,randomforest,Percentile,clip,2,9,7.786593067144544
