dataset,model,detector,treatment,run,fold,score
abalone,randomforest,Percentile,remove,0,0,7.449156716417911
abalone,randomforest,Percentile,remove,0,1,8.498748880597017
abalone,randomforest,Percentile,remove,0,2,7.004729213483147
abalone,randomforest,Percentile,remove,0,3,8.022622097378276
abalone,randomforest,Percentile,remove,0,4,6.697159550561797
abalone,randomforest,Percentile,remove,0,5,6.515449063670412
abalone,randomforest,Percentile,remove,0,6,8.361780524344569
abalone,randomforest,Percentile,remove,0,7,9.613303370786515
abalone,randomforest,Percentile,remove,0,8,8.256467790262173
abalone,randomforest,Percentile,remove,0,9,8.630935580524344
abalone,randomforest,Percentile,remove,1,0,8.86605
abalone,randomforest,Percentile,remove,1,1,10.329931343283581
abalone,randomforest,Percentile,remove,1,2,6.0802670411985025
abalone,randomforest,Percentile,remove,1,3,7.095494382022471
abalone,randomforest,Percentile,remove,1,4,8.009165543071163
abalone,randomforest,Percentile,remove,1,5,6.491575655430712
abalone,randomforest,Percentile,remove,1,6,8.101103745318353
abalone,randomforest,Percentile,remove,1,7,8.111523220973783
abalone,randomforest,Percentile,remove,1,8,9.411537827715357
abalone,randomforest,Percentile,remove,1,9,7.545123595505618
abalone,randomforest,Percentile,remove,2,0,6.280039552238806
abalone,randomforest,Percentile,remove,2,1,8.659086567164177
abalone,randomforest,Percentile,remove,2,2,9.681898876404494
abalone,randomforest,Percentile,remove,2,3,8.077484644194756
abalone,randomforest,Percentile,remove,2,4,7.358340074906366
abalone,randomforest,Percentile,remove,2,5,8.722295505617977
abalone,randomforest,Percentile,remove,2,6,7.446149438202248
abalone,randomforest,Percentile,remove,2,7,7.221591760299626
abalone,randomforest,Percentile,remove,2,8,7.7402464419475665
abalone,randomforest,Percentile,remove,2,9,7.463298876404495
