dataset,model,detector,treatment,run,fold,score
abalone,xgboost,IsolationForest,remove,0,0,10.508492469787598
abalone,xgboost,IsolationForest,remove,0,1,8.24760627746582
abalone,xgboost,IsolationForest,remove,0,2,8.897777557373047
abalone,xgboost,IsolationForest,remove,0,3,10.497593879699707
abalone,xgboost,IsolationForest,remove,0,4,7.901861190795898
abalone,xgboost,IsolationForest,remove,0,5,9.395530700683594
abalone,xgboost,IsolationForest,remove,0,6,10.577898979187012
abalone,xgboost,IsolationForest,remove,0,7,12.74368667602539
abalone,xgboost,IsolationForest,remove,0,8,11.015138626098633
abalone,xgboost,IsolationForest,remove,0,9,10.331643104553223
abalone,xgboost,IsolationForest,remove,1,0,11.015118598937988
abalone,xgboost,IsolationForest,remove,1,1,9.54841423034668
abalone,xgboost,IsolationForest,remove,1,2,8.198622703552246
abalone,xgboost,IsolationForest,remove,1,3,8.716166496276855
abalone,xgboost,IsolationForest,remove,1,4,9.909921646118164
abalone,xgboost,IsolationForest,remove,1,5,7.715072154998779
abalone,xgboost,IsolationForest,remove,1,6,10.718504905700684
abalone,xgboost,IsolationForest,remove,1,7,11.75078296661377
abalone,xgboost,IsolationForest,remove,1,8,10.977134704589844
abalone,xgboost,IsolationForest,remove,1,9,10.491352081298828
abalone,xgboost,IsolationForest,remove,2,0,9.24980354309082
abalone,xgboost,IsolationForest,remove,2,1,10.335663795471191
abalone,xgboost,IsolationForest,remove,2,2,15.32297420501709
abalone,xgboost,IsolationForest,remove,2,3,12.887434005737305
abalone,xgboost,IsolationForest,remove,2,4,11.505725860595703
abalone,xgboost,IsolationForest,remove,2,5,12.232272148132324
abalone,xgboost,IsolationForest,remove,2,6,9.47702693939209
abalone,xgboost,IsolationForest,remove,2,7,7.498558044433594
abalone,xgboost,IsolationForest,remove,2,8,8.883996963500977
abalone,xgboost,IsolationForest,remove,2,9,8.678276062011719
