dataset,model,detector,treatment,run,fold,score
abalone,xgboost,LOF,remove,0,0,15.114638328552246
abalone,xgboost,LOF,remove,0,1,8.234883308410645
abalone,xgboost,LOF,remove,0,2,11.163442611694336
abalone,xgboost,LOF,remove,0,3,11.122159004211426
abalone,xgboost,LOF,remove,0,4,9.505409240722656
abalone,xgboost,LOF,remove,0,5,10.407100677490234
abalone,xgboost,LOF,remove,0,6,14.189478874206543
abalone,xgboost,LOF,remove,0,7,12.909123420715332
abalone,xgboost,LOF,remove,0,8,17.456296920776367
abalone,xgboost,LOF,remove,0,9,14.270326614379883
abalone,xgboost,LOF,remove,1,0,13.068513870239258
abalone,xgboost,LOF,remove,1,1,12.707246780395508
abalone,xgboost,LOF,remove,1,2,8.856962203979492
abalone,xgboost,LOF,remove,1,3,11.500014305114746
abalone,xgboost,LOF,remove,1,4,13.847001075744629
abalone,xgboost,LOF,remove,1,5,10.121140480041504
abalone,xgboost,LOF,remove,1,6,16.73689842224121
abalone,xgboost,LOF,remove,1,7,14.234548568725586
abalone,xgboost,LOF,remove,1,8,15.068907737731934
abalone,xgboost,LOF,remove,1,9,9.369531631469727
abalone,xgboost,LOF,remove,2,0,9.399282455444336
abalone,xgboost,LOF,remove,2,1,9.670766830444336
abalone,xgboost,LOF,remove,2,2,16.77956771850586
abalone,xgboost,LOF,remove,2,3,14.539349555969238
abalone,xgboost,LOF,remove,2,4,9.4592924118042
abalone,xgboost,LOF,remove,2,5,12.295604705810547
abalone,xgboost,LOF,remove,2,6,11.348093032836914
abalone,xgboost,LOF,remove,2,7,13.244847297668457
abalone,xgboost,LOF,remove,2,8,13.171688079833984
abalone,xgboost,LOF,remove,2,9,10.64035701751709
