dataset,model,detector,treatment,run,fold,score
abalone,xgboost,None,remove,0,0,9.913172721862793
abalone,xgboost,None,remove,0,1,8.351036071777344
abalone,xgboost,None,remove,0,2,8.921585083007812
abalone,xgboost,None,remove,0,3,12.159183502197266
abalone,xgboost,None,remove,0,4,8.751143455505371
abalone,xgboost,None,remove,0,5,7.9583892822265625
abalone,xgboost,None,remove,0,6,9.575848579406738
abalone,xgboost,None,remove,0,7,17.937166213989258
abalone,xgboost,None,remove,0,8,10.416325569152832
abalone,xgboost,None,remove,0,9,14.93547534942627
abalone,xgboost,None,remove,1,0,19.826244354248047
abalone,xgboost,None,remove,1,1,14.239662170410156
abalone,xgboost,None,remove,1,2,8.994770050048828
abalone,xgboost,None,remove,1,3,8.625414848327637
abalone,xgboost,None,remove,1,4,14.755230903625488
abalone,xgboost,None,remove,1,5,9.78232192993164
abalone,xgboost,None,remove,1,6,12.26245403289795
abalone,xgboost,None,remove,1,7,12.028315544128418
abalone,xgboost,None,remove,1,8,10.777800559997559
abalone,xgboost,None,remove,1,9,11.720040321350098
abalone,xgboost,None,remove,2,0,9.872626304626465
abalone,xgboost,None,remove,2,1,10.58221435546875
abalone,xgboost,None,remove,2,2,14.672186851501465
abalone,xgboost,None,remove,2,3,11.634679794311523
abalone,xgboost,None,remove,2,4,13.828968048095703
abalone,xgboost,None,remove,2,5,8.238612174987793
abalone,xgboost,None,remove,2,6,10.423833847045898
abalone,xgboost,None,remove,2,7,12.376462936401367
abalone,xgboost,None,remove,2,8,11.960050582885742
abalone,xgboost,None,remove,2,9,10.859678268432617
