dataset,model,detector,treatment,run,fold,score
abalone,xgboost,ZScore,remove,0,0,10.272174835205078
abalone,xgboost,ZScore,remove,0,1,11.057158470153809
abalone,xgboost,ZScore,remove,0,2,12.516053199768066
abalone,xgboost,ZScore,remove,0,3,12.42176342010498
abalone,xgboost,ZScore,remove,0,4,10.644585609436035
abalone,xgboost,ZScore,remove,0,5,8.331267356872559
abalone,xgboost,ZScore,remove,0,6,9.5624361038208
abalone,xgboost,ZScore,remove,0,7,15.813860893249512
abalone,xgboost,ZScore,remove,0,8,10.9209623336792
abalone,xgboost,ZScore,remove,0,9,12.023283958435059
abalone,xgboost,ZScore,remove,1,0,14.334980010986328
abalone,xgboost,ZScore,remove,1,1,13.184305191040039
abalone,xgboost,ZScore,remove,1,2,8.4691162109375
abalone,xgboost,ZScore,remove,1,3,8.7354097366333
abalone,xgboost,ZScore,remove,1,4,11.55448055267334
abalone,xgboost,ZScore,remove,1,5,9.569851875305176
abalone,xgboost,ZScore,remove,1,6,11.523451805114746
abalone,xgboost,ZScore,remove,1,7,11.992194175720215
abalone,xgboost,ZScore,remove,1,8,14.124482154846191
abalone,xgboost,ZScore,remove,1,9,11.052385330200195
abalone,xgboost,ZScore,remove,2,0,10.118159294128418
abalone,xgboost,ZScore,remove,2,1,10.433652877807617
abalone,xgboost,ZScore,remove,2,2,13.458366394042969
abalone,xgboost,ZScore,remove,2,3,15.400259017944336
abalone,xgboost,ZScore,remove,2,4,12.354105949401855
abalone,xgboost,ZScore,remove,2,5,11.503843307495117
abalone,xgboost,ZScore,remove,2,6,9.982182502746582
abalone,xgboost,ZScore,remove,2,7,12.078845977783203
abalone,xgboost,ZScore,remove,2,8,13.28823184967041
abalone,xgboost,ZScore,remove,2,9,8.547024726867676
