dataset,model,detector,treatment,run,fold,score
california_housing,mlp,LOF,remove,0,0,32687156290.887764
california_housing,mlp,LOF,remove,0,1,33397536182.827763
california_housing,mlp,LOF,remove,0,2,32238214947.27371
california_housing,mlp,LOF,remove,0,3,29719241007.38691
california_housing,mlp,LOF,remove,0,4,33541896635.451244
california_housing,mlp,LOF,remove,0,5,32799705599.79408
california_housing,mlp,LOF,remove,0,6,30932347256.69424
california_housing,mlp,LOF,remove,0,7,31819673594.771313
california_housing,mlp,LOF,remove,0,8,33524954606.253872
california_housing,mlp,LOF,remove,0,9,32432133715.592094
california_housing,mlp,LOF,remove,1,0,32990132564.455406
california_housing,mlp,LOF,remove,1,1,31018200008.586636
california_housing,mlp,LOF,remove,1,2,33597467472.329487
california_housing,mlp,LOF,remove,1,3,30795425680.791664
california_housing,mlp,LOF,remove,1,4,33815031948.650116
california_housing,mlp,LOF,remove,1,5,32009608412.745956
california_housing,mlp,LOF,remove,1,6,30079011257.282967
california_housing,mlp,LOF,remove,1,7,31326179180.033794
california_housing,mlp,LOF,remove,1,8,31223027862.40563
california_housing,mlp,LOF,remove,1,9,33900563687.49605
california_housing,mlp,LOF,remove,2,0,33564218345.02834
california_housing,mlp,LOF,remove,2,1,30392576106.322098
california_housing,mlp,LOF,remove,2,2,32839528781.19604
california_housing,mlp,LOF,remove,2,3,33168686367.590916
california_housing,mlp,LOF,remove,2,4,31712944609.5483
california_housing,mlp,LOF,remove,2,5,31955759389.23046
california_housing,mlp,LOF,remove,2,6,31643145231.738125
california_housing,mlp,LOF,remove,2,7,36130019912.596954
california_housing,mlp,LOF,remove,2,8,30700274181.875225
california_housing,mlp,LOF,remove,2,9,32959355310.86107
