dataset,model,detector,treatment,run,fold,score
california_housing,mlp,None,remove,0,0,31019100736.014904
california_housing,mlp,None,remove,0,1,31313841072.852253
california_housing,mlp,None,remove,0,2,30751070789.278496
california_housing,mlp,None,remove,0,3,27915151632.410175
california_housing,mlp,None,remove,0,4,31172796043.150158
california_housing,mlp,None,remove,0,5,31192561599.12727
california_housing,mlp,None,remove,0,6,29937362457.020817
california_housing,mlp,None,remove,0,7,29609720768.07101
california_housing,mlp,None,remove,0,8,31522722774.455715
california_housing,mlp,None,remove,0,9,31002407763.328884
california_housing,mlp,None,remove,1,0,31985460627.531036
california_housing,mlp,None,remove,1,1,28832330719.872334
california_housing,mlp,None,remove,1,2,31439928560.046303
california_housing,mlp,None,remove,1,3,29385715530.199436
california_housing,mlp,None,remove,1,4,32770090758.997494
california_housing,mlp,None,remove,1,5,31245860334.93448
california_housing,mlp,None,remove,1,6,28225185382.601604
california_housing,mlp,None,remove,1,7,29651438759.77579
california_housing,mlp,None,remove,1,8,28810565794.294933
california_housing,mlp,None,remove,1,9,32117529604.521366
california_housing,mlp,None,remove,2,0,31680049669.219387
california_housing,mlp,None,remove,2,1,28501074356.131752
california_housing,mlp,None,remove,2,2,31374300530.483868
california_housing,mlp,None,remove,2,3,31337348119.253265
california_housing,mlp,None,remove,2,4,30718749069.257793
california_housing,mlp,None,remove,2,5,29911184924.74772
california_housing,mlp,None,remove,2,6,29705447709.254967
california_housing,mlp,None,remove,2,7,34283050960.33985
california_housing,mlp,None,remove,2,8,29332368746.07503
california_housing,mlp,None,remove,2,9,31033468320.589855
