dataset,model,detector,treatment,run,fold,score
california_housing,mlp,Percentile,remove,0,0,39116986329.97584
california_housing,mlp,Percentile,remove,0,1,39761132017.92432
california_housing,mlp,Percentile,remove,0,2,38229576619.75995
california_housing,mlp,Percentile,remove,0,3,37136103815.67663
california_housing,mlp,Percentile,remove,0,4,39473327088.01361
california_housing,mlp,Percentile,remove,0,5,39376853864.231735
california_housing,mlp,Percentile,remove,0,6,36863536240.169075
california_housing,mlp,Percentile,remove,0,7,37755198740.52763
california_housing,mlp,Percentile,remove,0,8,39908190475.040886
california_housing,mlp,Percentile,remove,0,9,39347037790.91481
california_housing,mlp,Percentile,remove,1,0,40673857418.76322
california_housing,mlp,Percentile,remove,1,1,37287677897.50133
california_housing,mlp,Percentile,remove,1,2,40469566146.73337
california_housing,mlp,Percentile,remove,1,3,37505537642.74794
california_housing,mlp,Percentile,remove,1,4,40417561303.961
california_housing,mlp,Percentile,remove,1,5,38299959621.28044
california_housing,mlp,Percentile,remove,1,6,36924099020.00391
california_housing,mlp,Percentile,remove,1,7,37560126357.82621
california_housing,mlp,Percentile,remove,1,8,37523243193.12064
california_housing,mlp,Percentile,remove,1,9,39596574736.56602
california_housing,mlp,Percentile,remove,2,0,40444819383.307724
california_housing,mlp,Percentile,remove,2,1,37058062186.6924
california_housing,mlp,Percentile,remove,2,2,39954611285.79133
california_housing,mlp,Percentile,remove,2,3,38447951510.9813
california_housing,mlp,Percentile,remove,2,4,39019188847.38352
california_housing,mlp,Percentile,remove,2,5,38974210646.51778
california_housing,mlp,Percentile,remove,2,6,38164514113.33637
california_housing,mlp,Percentile,remove,2,7,42544710750.93434
california_housing,mlp,Percentile,remove,2,8,37080739236.28047
california_housing,mlp,Percentile,remove,2,9,38541470614.92515
