dataset,model,detector,treatment,run,fold,score
california_housing,mlp_deep,Autoencoder,remove,0,0,4606134010.933333
california_housing,mlp_deep,Autoencoder,remove,0,1,4720138390.330742
california_housing,mlp_deep,Autoencoder,remove,0,2,4689009594.857357
california_housing,mlp_deep,Autoencoder,remove,0,3,4259224004.7156215
california_housing,mlp_deep,Autoencoder,remove,0,4,4387298180.486639
california_housing,mlp_deep,Autoencoder,remove,0,5,4360291676.067252
california_housing,mlp_deep,Autoencoder,remove,0,6,4087016522.6133394
california_housing,mlp_deep,Autoencoder,remove,0,7,4350142196.126869
california_housing,mlp_deep,Autoencoder,remove,0,8,4458759776.061372
california_housing,mlp_deep,Autoencoder,remove,0,9,3950806048.7028956
california_housing,mlp_deep,Autoencoder,remove,1,0,4740022152.697671
california_housing,mlp_deep,Autoencoder,remove,1,1,3895081863.9962015
california_housing,mlp_deep,Autoencoder,remove,1,2,4381044180.080415
california_housing,mlp_deep,Autoencoder,remove,1,3,4479338713.004571
california_housing,mlp_deep,Autoencoder,remove,1,4,4802719615.922284
california_housing,mlp_deep,Autoencoder,remove,1,5,4165720897.7879624
california_housing,mlp_deep,Autoencoder,remove,1,6,3996376995.1873994
california_housing,mlp_deep,Autoencoder,remove,1,7,4690925724.622066
california_housing,mlp_deep,Autoencoder,remove,1,8,4213504741.104014
california_housing,mlp_deep,Autoencoder,remove,1,9,5059648273.763439
california_housing,mlp_deep,Autoencoder,remove,2,0,4546060718.950299
california_housing,mlp_deep,Autoencoder,remove,2,1,3722949620.251108
california_housing,mlp_deep,Autoencoder,remove,2,2,4206783029.2336
california_housing,mlp_deep,Autoencoder,remove,2,3,4100767063.295897
california_housing,mlp_deep,Autoencoder,remove,2,4,4199192771.9254518
california_housing,mlp_deep,Autoencoder,remove,2,5,4376679034.329361
california_housing,mlp_deep,Autoencoder,remove,2,6,4648135220.694262
california_housing,mlp_deep,Autoencoder,remove,2,7,4865861473.729424
california_housing,mlp_deep,Autoencoder,remove,2,8,3972533076.41385
california_housing,mlp_deep,Autoencoder,remove,2,9,5064908109.017038
