dataset,model,detector,treatment,run,fold,score
california_housing,mlp_deep,None,remove,0,0,3814407075.407851
california_housing,mlp_deep,None,remove,0,1,4077310232.409095
california_housing,mlp_deep,None,remove,0,2,4058399497.974163
california_housing,mlp_deep,None,remove,0,3,3751132685.3358088
california_housing,mlp_deep,None,remove,0,4,3586222978.066489
california_housing,mlp_deep,None,remove,0,5,3682718567.257011
california_housing,mlp_deep,None,remove,0,6,3955200177.089136
california_housing,mlp_deep,None,remove,0,7,3640541731.2012877
california_housing,mlp_deep,None,remove,0,8,4234169222.2322326
california_housing,mlp_deep,None,remove,0,9,3469042043.833182
california_housing,mlp_deep,None,remove,1,0,4423674411.894763
california_housing,mlp_deep,None,remove,1,1,3175233559.2005134
california_housing,mlp_deep,None,remove,1,2,4027200163.714505
california_housing,mlp_deep,None,remove,1,3,3684682455.482235
california_housing,mlp_deep,None,remove,1,4,4604875437.11656
california_housing,mlp_deep,None,remove,1,5,3650310920.1170063
california_housing,mlp_deep,None,remove,1,6,3640189000.734841
california_housing,mlp_deep,None,remove,1,7,3638633758.707723
california_housing,mlp_deep,None,remove,1,8,3505072611.7283797
california_housing,mlp_deep,None,remove,1,9,4157322008.574526
california_housing,mlp_deep,None,remove,2,0,4096279170.288789
california_housing,mlp_deep,None,remove,2,1,3616816108.5208597
california_housing,mlp_deep,None,remove,2,2,3590660813.889057
california_housing,mlp_deep,None,remove,2,3,4106749099.948066
california_housing,mlp_deep,None,remove,2,4,3801573121.414019
california_housing,mlp_deep,None,remove,2,5,3602997155.7313986
california_housing,mlp_deep,None,remove,2,6,4024168962.6716814
california_housing,mlp_deep,None,remove,2,7,4102292664.7277517
california_housing,mlp_deep,None,remove,2,8,3508549855.554525
california_housing,mlp_deep,None,remove,2,9,3487113417.962744
