dataset,model,detector,treatment,run,fold,score
california_housing,mlp_deep,Percentile,remove,0,0,7031140123.7002
california_housing,mlp_deep,Percentile,remove,0,1,6129550409.538125
california_housing,mlp_deep,Percentile,remove,0,2,5715597066.650767
california_housing,mlp_deep,Percentile,remove,0,3,5633598053.261165
california_housing,mlp_deep,Percentile,remove,0,4,6131478569.383676
california_housing,mlp_deep,Percentile,remove,0,5,5598605123.784578
california_housing,mlp_deep,Percentile,remove,0,6,5540097671.985797
california_housing,mlp_deep,Percentile,remove,0,7,6286429057.869908
california_housing,mlp_deep,Percentile,remove,0,8,6220678914.188063
california_housing,mlp_deep,Percentile,remove,0,9,5555255041.45546
california_housing,mlp_deep,Percentile,remove,1,0,6647652530.958733
california_housing,mlp_deep,Percentile,remove,1,1,4963436611.928602
california_housing,mlp_deep,Percentile,remove,1,2,6142261699.967308
california_housing,mlp_deep,Percentile,remove,1,3,5813272378.543257
california_housing,mlp_deep,Percentile,remove,1,4,6230235943.135134
california_housing,mlp_deep,Percentile,remove,1,5,5361022734.820732
california_housing,mlp_deep,Percentile,remove,1,6,5642641912.613194
california_housing,mlp_deep,Percentile,remove,1,7,6147625863.212132
california_housing,mlp_deep,Percentile,remove,1,8,6299386794.846918
california_housing,mlp_deep,Percentile,remove,1,9,6857835907.01701
california_housing,mlp_deep,Percentile,remove,2,0,6302533650.248735
california_housing,mlp_deep,Percentile,remove,2,1,5006312646.21974
california_housing,mlp_deep,Percentile,remove,2,2,6252849286.266729
california_housing,mlp_deep,Percentile,remove,2,3,4890469975.162108
california_housing,mlp_deep,Percentile,remove,2,4,5804521139.970136
california_housing,mlp_deep,Percentile,remove,2,5,6126862982.815203
california_housing,mlp_deep,Percentile,remove,2,6,6323615277.412888
california_housing,mlp_deep,Percentile,remove,2,7,6306108753.356721
california_housing,mlp_deep,Percentile,remove,2,8,6235759526.7813
california_housing,mlp_deep,Percentile,remove,2,9,6762823775.15764
